ScalableEmitterDocument 18856d57-bb96-4ccf-a65c-7dd2eb830386
	$::EvaluatorData
		$::DataContainer
		Parameter FX/GlobalEffectParameterList/24b649af-3893-4de6-9ac4-9803052e4bff
	Max 1.0
	Min 0.25
RandomEvaluatorData Instance64
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance65
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min 0.5
RandomEvaluatorData Instance66
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 0.75
	Min 0.25
RandomEvaluatorData Instance67
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance68
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min 0.5
RandomEvaluatorData Instance69
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 0.75
	Min 0.25
RandomEvaluatorData Instance70
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min 0.5
RandomEvaluatorData Instance71
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance72
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 4.0
	Min 0.0
RandomEvaluatorData Instance73
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 4.0
	Min 0.0
RandomEvaluatorData Instance74
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance75
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min 0.5
RandomXYZEvaluatorData Instance76
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	MaxX 4.0
	MinX -4.0
	MaxY 1.0
	MinY -1.0
	MaxZ 15.0
	MinZ -15.0
RandomXYZEvaluatorData Instance77
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	MaxX 4.0
	MinX -4.0
	MaxY 1.0
	MinY -1.0
	MaxZ 15.0
	MinZ -15.0
RandomXYZEvaluatorData Instance78
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	MaxX 4.0
	MinX -4.0
	MaxY 1.0
	MinY -1.0
	MaxZ 15.0
	MinZ -15.0
RandomXYZEvaluatorData Instance79
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	MaxX 4.0
	MinX -4.0
	MaxY 1.0
	MinY -1.0
	MaxZ 15.0
	MinZ -15.0
SpawnAnimationData Instance80
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance33
		EvaluatorInput EfOne
	AnimationSpeed 0.0
	BasedOnLifetime False
SpawnAnimationData Instance81
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance34
		EvaluatorInput EfOne
	AnimationSpeed 0.0
	BasedOnLifetime False
SpawnAnimationData Instance82
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance32
		EvaluatorInput EfOne
	AnimationSpeed 0.0
	BasedOnLifetime False
SpawnAnimationData Instance83
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance35
		EvaluatorInput EfOne
	AnimationSpeed 0.0
	BasedOnLifetime False
SpawnAnimationFrameData Instance84
	$::ProcessorData
		$::DataContainer
		Pre Instance57
		NextProcessor Instance81
		EvaluatorInput EfOne
	AnimationFrame 1
SpawnAnimationFrameData Instance85
	$::ProcessorData
		$::DataContainer
		Pre Instance56
		NextProcessor Instance80
		EvaluatorInput EfOne
	AnimationFrame 1
SpawnAnimationFrameData Instance86
	$::ProcessorData
		$::DataContainer
		Pre Instance73
		NextProcessor Instance82
		EvaluatorInput EfOne
	AnimationFrame 1
SpawnAnimationFrameData Instance87
	$::ProcessorData
		$::DataContainer
		Pre Instance72
		NextProcessor Instance83
		EvaluatorInput EfOne
	AnimationFrame 1
SpawnDirectionData Instance88
	$::ProcessorData
		$::DataContainer
		Pre Instance78
		NextProcessor Instance93
		EvaluatorInput EfOne
	DirectionFromEmitterOrigin 0.25
	InheritSpeedAmount 0.0
	InheritSpeedSmoothingFactor 1.0
	InheritSpeedRandomness 0.0
	InheritSpeedAndDirectionFromEmitter False
SpawnDirectionData Instance89
	$::ProcessorData
		$::DataContainer
		Pre Instance79
		NextProcessor Instance95
		EvaluatorInput EfOne
	DirectionFromEmitterOrigin 0.25
	InheritSpeedAmount 0.0
	InheritSpeedSmoothingFactor 1.0
	InheritSpeedRandomness 0.0
	InheritSpeedAndDirectionFromEmitter False
SpawnDirectionData Instance90
	$::ProcessorData
		$::DataContainer
		Pre Instance77
		NextProcessor Instance92
		EvaluatorInput EfOne
	DirectionFromEmitterOrigin 0.25
	InheritSpeedAmount 0.0
	InheritSpeedSmoothingFactor 1.0
	InheritSpeedRandomness 0.0
	InheritSpeedAndDirectionFromEmitter False
SpawnDirectionData Instance91
	$::ProcessorData
		$::DataContainer
		Pre Instance76
		NextProcessor Instance94
		EvaluatorInput EfOne
	DirectionFromEmitterOrigin 0.25
	InheritSpeedAmount 0.0
	InheritSpeedSmoothingFactor 1.0
	InheritSpeedRandomness 0.0
	InheritSpeedAndDirectionFromEmitter False
SpawnPositionData Instance92
	$::ProcessorData
		$::DataContainer
		Pre Instance42
		NextProcessor Instance112
		EvaluatorInput EfOne
SpawnPositionData Instance93
	$::ProcessorData
		$::DataContainer
		Pre Instance43
		NextProcessor Instance113
		EvaluatorInput EfOne
SpawnPositionData Instance94
	$::ProcessorData
		$::DataContainer
		Pre Instance41
		NextProcessor Instance114
		EvaluatorInput EfOne
SpawnPositionData Instance95
	$::ProcessorData
		$::DataContainer
		Pre Instance40
		NextProcessor Instance115
		EvaluatorInput EfOne
SpawnRateData Instance96
	$::ProcessorData
		$::DataContainer
		Pre Instance39
		NextProcessor Instance48
		EvaluatorInput EfOne
	SpawnRate 750.0
	DistributeOverTime True
	DistributeOverDistance False
SpawnRateData Instance97
	$::ProcessorData
		$::DataContainer
		Pre Instance36
		NextProcessor Instance51
		EvaluatorInput EfOne
	SpawnRate 500.0
	DistributeOverTime True
	DistributeOverDistance False
SpawnRateData Instance98
	$::ProcessorData
		$::DataContainer
		Pre Instance38
		NextProcessor Instance49
		EvaluatorInput EfOne
	SpawnRate 400.0
	DistributeOverTime True
	DistributeOverDistance False
SpawnRateData Instance99
	$::ProcessorData
		$::DataContainer
		Pre Instance37
		NextProcessor Instance50
		EvaluatorInput EfOne
	SpawnRate 350.0
	DistributeOverTime True
	DistributeOverDistance False
SpawnRotationData Instance100
	$::ProcessorData
		$::DataContainer
		Pre Instance64
		NextProcessor Instance104
		EvaluatorInput EfOne
	Rotation 1.0
SpawnRotationData Instance101
	$::ProcessorData
		$::DataContainer
		Pre Instance71
		NextProcessor Instance106
		EvaluatorInput EfOne
	Rotation 1.0
SpawnRotationData Instance102
	$::ProcessorData
		$::DataContainer
		Pre Instance67
		NextProcessor Instance107
		EvaluatorInput EfOne
	Rotation 1.0
SpawnRotationData Instance103
	$::ProcessorData
		$::DataContainer
		Pre Instance74
		NextProcessor Instance105
		EvaluatorInput EfOne
	Rotation 1.0
SpawnRotationSpeedData Instance104
	$::ProcessorData
		$::DataContainer
		Pre Instance69
		NextProcessor Instance145
		EvaluatorInput EfOne
	RotationSpeed 0.10000000149011612
SpawnRotationSpeedData Instance105
	$::ProcessorData
		$::DataContainer
		Pre Instance61
		NextProcessor Instance110
		EvaluatorInput EfOne
	RotationSpeed 0.10000000149011612
SpawnRotationSpeedData Instance106
	$::ProcessorData
		$::DataContainer
		Pre Instance66
		NextProcessor Instance146
		EvaluatorInput EfOne
	RotationSpeed 0.10000000149011612
SpawnRotationSpeedData Instance107
	$::ProcessorData
		$::DataContainer
		Pre Instance58
		NextProcessor Instance147
		EvaluatorInput EfOne
	RotationSpeed 0.10000000149011612
SpawnSizeData Instance108
	$::ProcessorData
		$::DataContainer
		Pre Instance68
		NextProcessor Instance89
		EvaluatorInput EfOne
	Size 10.0
SpawnSizeData Instance109
	$::ProcessorData
		$::DataContainer
		Pre Instance75
		NextProcessor Instance91
		EvaluatorInput EfOne
	Size 10.0
SpawnSizeData Instance110
	$::ProcessorData
		$::DataContainer
		Pre Instance65
		NextProcessor Instance90
		EvaluatorInput EfOne
	Size 10.0
SpawnSizeData Instance111
	$::ProcessorData
		$::DataContainer
		Pre Instance70
		NextProcessor Instance88
		EvaluatorInput EfOne
	Size 10.0
SpawnSpeedData Instance112
	$::ProcessorData
		$::DataContainer
		Pre Instance62
		NextProcessor Instance144
		EvaluatorInput EfOne
	Speed 1.0
SpawnSpeedData Instance113
	$::ProcessorData
		$::DataContainer
		Pre Instance59
		NextProcessor Instance136
		EvaluatorInput EfOne
	Speed 1.0
SpawnSpeedData Instance114
	$::ProcessorData
		$::DataContainer
		Pre Instance63
		NextProcessor Instance137
		EvaluatorInput EfOne
	Speed 1.0
SpawnSpeedData Instance115
	$::ProcessorData
		$::DataContainer
		Pre Instance60
		NextProcessor Instance139
		EvaluatorInput EfOne
	Speed 1.0
UpdateAgeData Instance116
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance96
		EvaluatorInput EfOne
	Lifetime 2.0
	RandomLifetimeScale 0.20000000298023224
	MaxFactor 1.0
UpdateAgeData Instance117
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance98
		EvaluatorInput EfOne
	Lifetime 2.0
	RandomLifetimeScale 0.20000000298023224
	MaxFactor 1.0
UpdateAgeData Instance118
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance97
		EvaluatorInput EfOne
	Lifetime 2.0
	RandomLifetimeScale 0.20000000298023224
	MaxFactor 1.0
UpdateAgeData Instance119
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance99
		EvaluatorInput EfOne
	Lifetime 2.0
	RandomLifetimeScale 0.20000000298023224
	MaxFactor 1.0
UpdateAlphaLevelMinData Instance120
	$::ProcessorData
		$::DataContainer
		Pre Instance17
		NextProcessor Instance124
		EvaluatorInput EfNormTime
	MinLevel 1.0
UpdateAlphaLevelMinData Instance121
	$::ProcessorData
		$::DataContainer
		Pre Instance19
		NextProcessor Instance127
		EvaluatorInput EfNormTime
	MinLevel 1.0
UpdateAlphaLevelMinData Instance122
	$::ProcessorData
		$::DataContainer
		Pre Instance28
		NextProcessor Instance125
		EvaluatorInput EfNormTime
	MinLevel 1.0
UpdateAlphaLevelMinData Instance123
	$::ProcessorData
		$::DataContainer
		Pre Instance12
		NextProcessor Instance126
		EvaluatorInput EfNormTime
	MinLevel 1.0
UpdateAlphaLevelScaleData Instance124
	$::ProcessorData
		$::DataContainer
		Pre Instance10
		NextProcessor Instance44
		EvaluatorInput EfNormTime
	Exponent 10.0
UpdateAlphaLevelScaleData Instance125
	$::ProcessorData
		$::DataContainer
		Pre Instance16
		NextProcessor Instance46
		EvaluatorInput EfNormTime
	Exponent 10.0
UpdateAlphaLevelScaleData Instance126
	$::ProcessorData
		$::DataContainer
		Pre Instance13
		NextProcessor Instance45
		EvaluatorInput EfNormTime
	Exponent 10.0
UpdateAlphaLevelScaleData Instance127
	$::ProcessorData
		$::DataContainer
		Pre Instance21
		NextProcessor Instance47
		EvaluatorInput EfNormTime
	Exponent 10.0
UpdateClipScaleData Instance128
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance132
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 27135
		member(1) 24703
		member(2) 25215
		member(3) 27391
		member(4) 29183
		member(5) 26623
		member(6) 28415
		member(7) 28415
		member(8) 29823
		member(9) 29311
		member(10) 30207
		member(11) 29695
		member(12) 29823
		member(13) 29311
		member(14) 30207
		member(15) 29695
		member(16) 29823
		member(17) 29311
		member(18) 30207
		member(19) 29695
		member(20) 29567
		member(21) 28159
		member(22) 29695
		member(23) 29439
		member(24) 29439
		member(25) 27519
		member(26) 28799
		member(27) 29183
		member(28) 29183
		member(29) 26751
		member(30) 28543
		member(31) 28799
		member(32) 29055
		member(33) 26367
		member(34) 27391
		member(35) 28287
		member(36) 28927
		member(37) 25471
		member(38) 26623
		member(39) 28159
		member(40) 28543
		member(41) 25343
		member(42) 25855
		member(43) 27903
		member(44) 28031
		member(45) 25087
		member(46) 25599
		member(47) 27647
		member(48) 27519
		member(49) 24831
		member(50) 25215
		member(51) 27519
		member(52) 27135
		member(53) 24575
		member(54) 24575
		member(55) 27391
		member(56) 27007
		member(57) 24319
		member(58) 24447
		member(59) 27263
		member(60) 26495
		member(61) 24063
		member(62) 24191
		member(63) 27135
		member(64) 25727
		member(65) 23679
		member(66) 22527
		member(67) 26111
		member(68) 25471
		member(69) 23551
		member(70) 22143
		member(71) 25599
		member(72) 25471
		member(73) 23295
		member(74) 22143
		member(75) 25599
		member(76) 25215
		member(77) 22911
		member(78) 21375
		member(79) 25343
		member(80) 24959
		member(81) 22527
		member(82) 20479
		member(83) 25215
		member(84) 24831
		member(85) 22271
		member(86) 20223
		member(87) 25215
		member(88) 24575
		member(89) 22015
		member(90) 19839
		member(91) 25087
		member(92) 23551
		member(93) 21759
		member(94) 19455
		member(95) 24703
		member(96) 22655
		member(97) 21375
		member(98) 19327
		member(99) 24191
		member(100) 21759
		member(101) 20991
		member(102) 19199
		member(103) 23423
		member(104) 21247
		member(105) 20735
		member(106) 18943
		member(107) 22911
		member(108) 19967
		member(109) 19967
		member(110) 17535
		member(111) 21887
		member(112) 19583
		member(113) 15103
		member(114) 17535
		member(115) 20479
		member(116) 19327
		member(117) 13695
		member(118) 17407
		member(119) 19711
		member(120) 18815
		member(121) 9471
		member(122) 17279
		member(123) 18815
		member(124) 17279
		member(125) 6527
		member(126) 8447
		member(127) 16767
		member(128) 14591
		member(129) 5375
		member(130) 7935
		member(131) 12927
UpdateClipScaleData Instance129
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance134
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 27135
		member(1) 24703
		member(2) 25215
		member(3) 27391
		member(4) 29183
		member(5) 26623
		member(6) 28415
		member(7) 28415
		member(8) 29823
		member(9) 29311
		member(10) 30207
		member(11) 29695
		member(12) 29823
		member(13) 29311
		member(14) 30207
		member(15) 29695
		member(16) 29823
		member(17) 29311
		member(18) 30207
		member(19) 29695
		member(20) 29567
		member(21) 28159
		member(22) 29695
		member(23) 29439
		member(24) 29439
		member(25) 27519
		member(26) 28799
		member(27) 29183
		member(28) 29183
		member(29) 26751
		member(30) 28543
		member(31) 28799
		member(32) 29055
		member(33) 26367
		member(34) 27391
		member(35) 28287
		member(36) 28927
		member(37) 25471
		member(38) 26623
		member(39) 28159
		member(40) 28543
		member(41) 25343
		member(42) 25855
		member(43) 27903
		member(44) 28031
		member(45) 25087
		member(46) 25599
		member(47) 27647
		member(48) 27519
		member(49) 24831
		member(50) 25215
		member(51) 27519
		member(52) 27135
		member(53) 24575
		member(54) 24575
		member(55) 27391
		member(56) 27007
		member(57) 24319
		member(58) 24447
		member(59) 27263
		member(60) 26495
		member(61) 24063
		member(62) 24191
		member(63) 27135
		member(64) 25727
		member(65) 23679
		member(66) 22527
		member(67) 26111
		member(68) 25471
		member(69) 23551
		member(70) 22143
		member(71) 25599
		member(72) 25471
		member(73) 23295
		member(74) 22143
		member(75) 25599
		member(76) 25215
		member(77) 22911
		member(78) 21375
		member(79) 25343
		member(80) 24959
		member(81) 22527
		member(82) 20479
		member(83) 25215
		member(84) 24831
		member(85) 22271
		member(86) 20223
		member(87) 25215
		member(88) 24575
		member(89) 22015
		member(90) 19839
		member(91) 25087
		member(92) 23551
		member(93) 21759
		member(94) 19455
		member(95) 24703
		member(96) 22655
		member(97) 21375
		member(98) 19327
		member(99) 24191
		member(100) 21759
		member(101) 20991
		member(102) 19199
		member(103) 23423
		member(104) 21247
		member(105) 20735
		member(106) 18943
		member(107) 22911
		member(108) 19967
		member(109) 19967
		member(110) 17535
		member(111) 21887
		member(112) 19583
		member(113) 15103
		member(114) 17535
		member(115) 20479
		member(116) 19327
		member(117) 13695
		member(118) 17407
		member(119) 19711
		member(120) 18815
		member(121) 9471
		member(122) 17279
		member(123) 18815
		member(124) 17279
		member(125) 6527
		member(126) 8447
		member(127) 16767
		member(128) 14591
		member(129) 5375
		member(130) 7935
		member(131) 12927
UpdateClipScaleData Instance130
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance135
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 27135
		member(1) 24703
		member(2) 25215
		member(3) 27391
		member(4) 29183
		member(5) 26623
		member(6) 28415
		member(7) 28415
		member(8) 29823
		member(9) 29311
		member(10) 30207
		member(11) 29695
		member(12) 29823
		member(13) 29311
		member(14) 30207
		member(15) 29695
		member(16) 29823
		member(17) 29311
		member(18) 30207
		member(19) 29695
		member(20) 29567
		member(21) 28159
		member(22) 29695
		member(23) 29439
		member(24) 29439
		member(25) 27519
		member(26) 28799
		member(27) 29183
		member(28) 29183
		member(29) 26751
		member(30) 28543
		member(31) 28799
		member(32) 29055
		member(33) 26367
		member(34) 27391
		member(35) 28287
		member(36) 28927
		member(37) 25471
		member(38) 26623
		member(39) 28159
		member(40) 28543
		member(41) 25343
		member(42) 25855
		member(43) 27903
		member(44) 28031
		member(45) 25087
		member(46) 25599
		member(47) 27647
		member(48) 27519
		member(49) 24831
		member(50) 25215
		member(51) 27519
		member(52) 27135
		member(53) 24575
		member(54) 24575
		member(55) 27391
		member(56) 27007
		member(57) 24319
		member(58) 24447
		member(59) 27263
		member(60) 26495
		member(61) 24063
		member(62) 24191
		member(63) 27135
		member(64) 25727
		member(65) 23679
		member(66) 22527
		member(67) 26111
		member(68) 25471
		member(69) 23551
		member(70) 22143
		member(71) 25599
		member(72) 25471
		member(73) 23295
		member(74) 22143
		member(75) 25599
		member(76) 25215
		member(77) 22911
		member(78) 21375
		member(79) 25343
		member(80) 24959
		member(81) 22527
		member(82) 20479
		member(83) 25215
		member(84) 24831
		member(85) 22271
		member(86) 20223
		member(87) 25215
		member(88) 24575
		member(89) 22015
		member(90) 19839
		member(91) 25087
		member(92) 23551
		member(93) 21759
		member(94) 19455
		member(95) 24703
		member(96) 22655
		member(97) 21375
		member(98) 19327
		member(99) 24191
		member(100) 21759
		member(101) 20991
		member(102) 19199
		member(103) 23423
		member(104) 21247
		member(105) 20735
		member(106) 18943
		member(107) 22911
		member(108) 19967
		member(109) 19967
		member(110) 17535
		member(111) 21887
		member(112) 19583
		member(113) 15103
		member(114) 17535
		member(115) 20479
		member(116) 19327
		member(117) 13695
		member(118) 17407
		member(119) 19711
		member(120) 18815
		member(121) 9471
		member(122) 17279
		member(123) 18815
		member(124) 17279
		member(125) 6527
		member(126) 8447
		member(127) 16767
		member(128) 14591
		member(129) 5375
		member(130) 7935
		member(131) 12927
UpdateClipScaleData Instance131
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance133
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 27135
		member(1) 24703
		member(2) 25215
		member(3) 27391
		member(4) 29183
		member(5) 26623
		member(6) 28415
		member(7) 28415
		member(8) 29823
		member(9) 29311
		member(10) 30207
		member(11) 29695
		member(12) 29823
		member(13) 29311
		member(14) 30207
		member(15) 29695
		member(16) 29823
		member(17) 29311
		member(18) 30207
		member(19) 29695
		member(20) 29567
		member(21) 28159
		member(22) 29695
		member(23) 29439
		member(24) 29439
		member(25) 27519
		member(26) 28799
		member(27) 29183
		member(28) 29183
		member(29) 26751
		member(30) 28543
		member(31) 28799
		member(32) 29055
		member(33) 26367
		member(34) 27391
		member(35) 28287
		member(36) 28927
		member(37) 25471
		member(38) 26623
		member(39) 28159
		member(40) 28543
		member(41) 25343
		member(42) 25855
		member(43) 27903
		member(44) 28031
		member(45) 25087
		member(46) 25599
		member(47) 27647
		member(48) 27519
		member(49) 24831
		member(50) 25215
		member(51) 27519
		member(52) 27135
		member(53) 24575
		member(54) 24575
		member(55) 27391
		member(56) 27007
		member(57) 24319
		member(58) 24447
		member(59) 27263
		member(60) 26495
		member(61) 24063
		member(62) 24191
		member(63) 27135
		member(64) 25727
		member(65) 23679
		member(66) 22527
		member(67) 26111
		member(68) 25471
		member(69) 23551
		member(70) 22143
		member(71) 25599
		member(72) 25471
		member(73) 23295
		member(74) 22143
		member(75) 25599
		member(76) 25215
		member(77) 22911
		member(78) 21375
		member(79) 25343
		member(80) 24959
		member(81) 22527
		member(82) 20479
		member(83) 25215
		member(84) 24831
		member(85) 22271
		member(86) 20223
		member(87) 25215
		member(88) 24575
		member(89) 22015
		member(90) 19839
		member(91) 25087
		member(92) 23551
		member(93) 21759
		member(94) 19455
		member(95) 24703
		member(96) 22655
		member(97) 21375
		member(98) 19327
		member(99) 24191
		member(100) 21759
		member(101) 20991
		member(102) 19199
		member(103) 23423
		member(104) 21247
		member(105) 20735
		member(106) 18943
		member(107) 22911
		member(108) 19967
		member(109) 19967
		member(110) 17535
		member(111) 21887
		member(112) 19583
		member(113) 15103
		member(114) 17535
		member(115) 20479
		member(116) 19327
		member(117) 13695
		member(118) 17407
		member(119) 19711
		member(120) 18815
		member(121) 9471
		member(122) 17279
		member(123) 18815
		member(124) 17279
		member(125) 6527
		member(126) 8447
		member(127) 16767
		member(128) 14591
		member(129) 5375
		member(130) 7935
		member(131) 12927
UpdateLinearVelocityData Instance132
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateLinearVelocityData Instance133
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateLinearVelocityData Instance134
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateLinearVelocityData Instance135
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateOrientationData Instance136
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance131
		EvaluatorInput EfNormTime
UpdateOrientationData Instance137
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance129
		EvaluatorInput EfNormTime
UpdateOrientationData Instance138
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance128
		EvaluatorInput EfNormTime
UpdateOrientationData Instance139
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance130
		EvaluatorInput EfNormTime
UpdateRotationData Instance140
	$::ProcessorData
		$::DataContainer
		Pre Instance29
		NextProcessor Instance100
		EvaluatorInput EfNormTime
UpdateRotationData Instance141
	$::ProcessorData
		$::DataContainer
		Pre Instance8
		NextProcessor Instance103
		EvaluatorInput EfNormTime
UpdateRotationData Instance142
	$::ProcessorData
		$::DataContainer
		Pre Instance24
		NextProcessor Instance101
		EvaluatorInput EfNormTime
UpdateRotationData Instance143
	$::ProcessorData
		$::DataContainer
		Pre Instance11
		NextProcessor Instance102
		EvaluatorInput EfNormTime
UpdateSizeData Instance144
	$::ProcessorData
		$::DataContainer
		Pre Instance18
		NextProcessor Instance138
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateSizeData Instance145
	$::ProcessorData
		$::DataContainer
		Pre Instance15
		NextProcessor Instance111
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateSizeData Instance146
	$::ProcessorData
		$::DataContainer
		Pre Instance20
		NextProcessor Instance109
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateSizeData Instance147
	$::ProcessorData
		$::DataContainer
		Pre Instance23
		NextProcessor Instance108
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateTextureCoordsData Instance148
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance153
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Smoke/Smoke_Thin_01_4x2/ef0ff905-9244-4f87-9985-1a69702e500b
	NormalTexture Systems/Emitter/DefaultNormalTexture/ffdd9e47-30b0-4c9e-9539-2f6240c340cc
UpdateTextureCoordsData Instance149
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance152
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Smoke/Smoke_Thin_01_4x2/ef0ff905-9244-4f87-9985-1a69702e500b
	NormalTexture Systems/Emitter/DefaultNormalTexture/ffdd9e47-30b0-4c9e-9539-2f6240c340cc
UpdateTextureCoordsData Instance150
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance154
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Smoke/Smoke_Thin_01_4x2/ef0ff905-9244-4f87-9985-1a69702e500b
	NormalTexture Systems/Emitter/DefaultNormalTexture/ffdd9e47-30b0-4c9e-9539-2f6240c340cc
UpdateTextureCoordsData Instance151
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance155
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Smoke/Smoke_Thin_01_4x2/ef0ff905-9244-4f87-9985-1a69702e500b
	NormalTexture Systems/Emitter/DefaultNormalTexture/ffdd9e47-30b0-4c9e-9539-2f6240c340cc
UpdateTransparencyData Instance152
	$::ProcessorData
		$::DataContainer
		Pre Instance26
		NextProcessor Instance141
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
UpdateTransparencyData Instance153
	$::ProcessorData
		$::DataContainer
		Pre Instance22
		NextProcessor Instance140
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
UpdateTransparencyData Instance154
	$::ProcessorData
		$::DataContainer
		Pre Instance9
		NextProcessor Instance142
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
UpdateTransparencyData Instance155
	$::ProcessorData
		$::DataContainer
		Pre Instance27
		NextProcessor Instance143
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
