ScalableEmitterDocument 174d4ae8-59b6-4f9e-98e6-abc444192dc3
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	InnerRadius 0.0
	Scale::Vec3
		x 0.3499999940395355
		y 1.0
		z 0.3499999940395355
	Pivot::Vec3
		x 0.0
		y 0.0
		z 0.0
	OuterRadius 1.0
	StartZenithAngle 34.637001037597656
	EndZenithAngle 137.9810028076172
	InnerRadiusBound 0.0
	StartZenithAngleBound 0.9113847613334656
	EndZenithAngleBound 0.12853853404521942
	StartAzimuthAngle 180.0
	EndAzimuthAngle -180.0
SuperSphereEvaluatorData Instance43
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	InnerRadius 0.0
	Scale::Vec3
		x 0.3499999940395355
		y 1.0
		z 0.3499999940395355
	Pivot::Vec3
		x 0.0
		y 0.0
		z 0.0
	OuterRadius 1.0
	StartZenithAngle 34.637001037597656
	EndZenithAngle 137.9810028076172
	InnerRadiusBound 0.0
	StartZenithAngleBound 0.9113847613334656
	EndZenithAngleBound 0.12853853404521942
	StartAzimuthAngle 180.0
	EndAzimuthAngle -180.0
UpdateColorData Instance44
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance82
		EvaluatorInput EfNormTime
	Color::Vec3
		x 1.0
		y 1.0
		z 1.0
UpdateColorData Instance45
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance81
		EvaluatorInput EfNormTime
	Color::Vec3
		x 1.0
		y 1.0
		z 1.0
UpdateColorData Instance46
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance80
		EvaluatorInput EfNormTime
	Color::Vec3
		x 1.0
		y 1.0
		z 1.0
UpdateColorData Instance47
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance83
		EvaluatorInput EfNormTime
	Color::Vec3
		x 1.0
		y 1.0
		z 1.0
AirResistanceData Instance48
	$::ProcessorData
		$::DataContainer
		Pre Instance31
		NextProcessor Instance52
		EvaluatorInput EfNormTime
	DragFactor 2.0
AirResistanceData Instance49
	$::ProcessorData
		$::DataContainer
		Pre Instance14
		NextProcessor Instance54
		EvaluatorInput EfNormTime
	DragFactor 2.0
AirResistanceData Instance50
	$::ProcessorData
		$::DataContainer
		Pre Instance19
		NextProcessor Instance53
		EvaluatorInput EfNormTime
	DragFactor 2.0
AirResistanceData Instance51
	$::ProcessorData
		$::DataContainer
		Pre Instance29
		NextProcessor Instance55
		EvaluatorInput EfNormTime
	DragFactor 2.0
GravityData Instance52
	$::ProcessorData
		$::DataContainer
		Pre Instance11
		NextProcessor Instance5
		EvaluatorInput EfNormTime
	Gravity 3.0
	PerParticleRandomness 0.25
GravityData Instance53
	$::ProcessorData
		$::DataContainer
		Pre Instance18
		NextProcessor Instance4
		EvaluatorInput EfNormTime
	Gravity 3.0
	PerParticleRandomness 0.25
GravityData Instance54
	$::ProcessorData
		$::DataContainer
		Pre Instance24
		NextProcessor Instance6
		EvaluatorInput EfNormTime
	Gravity 3.0
	PerParticleRandomness 0.25
GravityData Instance55
	$::ProcessorData
		$::DataContainer
		Pre Instance27
		NextProcessor Instance7
		EvaluatorInput EfNormTime
	Gravity 3.0
	PerParticleRandomness 0.25
RandomEvaluatorData Instance56
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance57
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance58
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance59
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance60
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance61
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.25
	Min 0.75
RandomEvaluatorData Instance62
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance63
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.25
	Min 0.75
RandomEvaluatorData Instance64
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.25
	Min 0.75
RandomEvaluatorData Instance65
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.25
	Min 0.75
RandomEvaluatorData Instance66
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance67
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomXYZEvaluatorData Instance68
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	MaxX 1.0
	MinX 1.0
	MaxY -0.25
	MinY 0.0
	MaxZ -1.0
	MinZ -1.0
RandomXYZEvaluatorData Instance69
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	MaxX 1.0
	MinX 1.0
	MaxY -0.25
	MinY 0.0
	MaxZ -1.0
	MinZ -1.0
RandomXYZEvaluatorData Instance70
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	MaxX 1.0
	MinX 1.0
	MaxY -0.25
	MinY 0.0
	MaxZ -1.0
	MinZ -1.0
RandomXYZEvaluatorData Instance71
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	MaxX 1.0
	MinX 1.0
	MaxY -0.25
	MinY 0.0
	MaxZ -1.0
	MinZ -1.0
SpawnDirectionData Instance72
	$::ProcessorData
		$::DataContainer
		Pre Instance69
		NextProcessor Instance78
		EvaluatorInput EfOne
	DirectionFromEmitterOrigin 0.0
	InheritSpeedAmount 1.0
	InheritSpeedSmoothingFactor 0.0
	InheritSpeedRandomness 0.0
	InheritSpeedAndDirectionFromEmitter False
SpawnDirectionData Instance73
	$::ProcessorData
		$::DataContainer
		Pre Instance70
		NextProcessor Instance77
		EvaluatorInput EfOne
	DirectionFromEmitterOrigin 0.0
	InheritSpeedAmount 1.0
	InheritSpeedSmoothingFactor 0.0
	InheritSpeedRandomness 0.0
	InheritSpeedAndDirectionFromEmitter False
SpawnDirectionData Instance74
	$::ProcessorData
		$::DataContainer
		Pre Instance71
		NextProcessor Instance76
		EvaluatorInput EfOne
	DirectionFromEmitterOrigin 0.0
	InheritSpeedAmount 1.0
	InheritSpeedSmoothingFactor 0.0
	InheritSpeedRandomness 0.0
	InheritSpeedAndDirectionFromEmitter False
SpawnDirectionData Instance75
	$::ProcessorData
		$::DataContainer
		Pre Instance68
		NextProcessor Instance79
		EvaluatorInput EfOne
	DirectionFromEmitterOrigin 0.0
	InheritSpeedAmount 1.0
	InheritSpeedSmoothingFactor 0.0
	InheritSpeedRandomness 0.0
	InheritSpeedAndDirectionFromEmitter False
SpawnPositionData Instance76
	$::ProcessorData
		$::DataContainer
		Pre Instance42
		NextProcessor Instance96
		EvaluatorInput EfOne
SpawnPositionData Instance77
	$::ProcessorData
		$::DataContainer
		Pre Instance41
		NextProcessor Instance98
		EvaluatorInput EfOne
SpawnPositionData Instance78
	$::ProcessorData
		$::DataContainer
		Pre Instance43
		NextProcessor Instance97
		EvaluatorInput EfOne
SpawnPositionData Instance79
	$::ProcessorData
		$::DataContainer
		Pre Instance40
		NextProcessor Instance99
		EvaluatorInput EfOne
SpawnRateData Instance80
	$::ProcessorData
		$::DataContainer
		Pre Instance33
		NextProcessor Instance74
		EvaluatorInput EfEmitterNormTime
	SpawnRate 6.0
	DistributeOverTime True
	DistributeOverDistance False
SpawnRateData Instance81
	$::ProcessorData
		$::DataContainer
		Pre Instance36
		NextProcessor Instance72
		EvaluatorInput EfEmitterNormTime
	SpawnRate 6.0
	DistributeOverTime True
	DistributeOverDistance False
SpawnRateData Instance82
	$::ProcessorData
		$::DataContainer
		Pre Instance34
		NextProcessor Instance73
		EvaluatorInput EfEmitterNormTime
	SpawnRate 8.0
	DistributeOverTime True
	DistributeOverDistance False
SpawnRateData Instance83
	$::ProcessorData
		$::DataContainer
		Pre Instance37
		NextProcessor Instance75
		EvaluatorInput EfEmitterNormTime
	SpawnRate 10.0
	DistributeOverTime True
	DistributeOverDistance False
SpawnRotationData Instance84
	$::ProcessorData
		$::DataContainer
		Pre Instance60
		NextProcessor Instance91
		EvaluatorInput EfOne
	Rotation 1.0
SpawnRotationData Instance85
	$::ProcessorData
		$::DataContainer
		Pre Instance56
		NextProcessor Instance89
		EvaluatorInput EfOne
	Rotation 1.0
SpawnRotationData Instance86
	$::ProcessorData
		$::DataContainer
		Pre Instance57
		NextProcessor Instance88
		EvaluatorInput EfOne
	Rotation 1.0
SpawnRotationData Instance87
	$::ProcessorData
		$::DataContainer
		Pre Instance66
		NextProcessor Instance90
		EvaluatorInput EfOne
	Rotation 1.0
SpawnRotationSpeedData Instance88
	$::ProcessorData
		$::DataContainer
		Pre Instance67
		NextProcessor Instance117
		EvaluatorInput EfOne
	RotationSpeed 5.0
SpawnRotationSpeedData Instance89
	$::ProcessorData
		$::DataContainer
		Pre Instance62
		NextProcessor Instance116
		EvaluatorInput EfOne
	RotationSpeed 5.0
SpawnRotationSpeedData Instance90
	$::ProcessorData
		$::DataContainer
		Pre Instance58
		NextProcessor Instance118
		EvaluatorInput EfOne
	RotationSpeed 5.0
SpawnRotationSpeedData Instance91
	$::ProcessorData
		$::DataContainer
		Pre Instance59
		NextProcessor Instance119
		EvaluatorInput EfOne
	RotationSpeed 5.0
SpawnSizeData Instance92
	$::ProcessorData
		$::DataContainer
		Pre Instance65
		NextProcessor Instance50
		EvaluatorInput EfOne
	Size 1.0
SpawnSizeData Instance93
	$::ProcessorData
		$::DataContainer
		Pre Instance63
		NextProcessor Instance48
		EvaluatorInput EfOne
	Size 1.0
SpawnSizeData Instance94
	$::ProcessorData
		$::DataContainer
		Pre Instance64
		NextProcessor Instance49
		EvaluatorInput EfOne
	Size 1.0
SpawnSizeData Instance95
	$::ProcessorData
		$::DataContainer
		Pre Instance61
		NextProcessor Instance51
		EvaluatorInput EfOne
	Size 1.0
SpawnSpeedData Instance96
	$::ProcessorData
		$::DataContainer
		Pre Instance21
		NextProcessor Instance109
		EvaluatorInput EfEmitterNormTime
	Speed 6.0
SpawnSpeedData Instance97
	$::ProcessorData
		$::DataContainer
		Pre Instance26
		NextProcessor Instance110
		EvaluatorInput EfEmitterNormTime
	Speed 6.0
SpawnSpeedData Instance98
	$::ProcessorData
		$::DataContainer
		Pre Instance17
		NextProcessor Instance108
		EvaluatorInput EfEmitterNormTime
	Speed 6.0
SpawnSpeedData Instance99
	$::ProcessorData
		$::DataContainer
		Pre Instance8
		NextProcessor Instance111
		EvaluatorInput EfEmitterNormTime
	Speed 6.0
TurbulanceData Instance100
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance129
		EvaluatorInput EfNormTime
	Intensity 0.20000000298023224
	NoiseType TurbulenceNoiseType_Random
	PeriodSpace 1.0
	TurbulenceForceAsInstantVelocity 0.0
	Octaves 3
	OctavePersistence 0.5
	PerParticleRandomness 0.0
TurbulanceData Instance101
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance131
		EvaluatorInput EfNormTime
	Intensity 0.20000000298023224
	NoiseType TurbulenceNoiseType_Random
	PeriodSpace 1.0
	TurbulenceForceAsInstantVelocity 0.0
	Octaves 3
	OctavePersistence 0.5
	PerParticleRandomness 0.0
TurbulanceData Instance102
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance130
		EvaluatorInput EfNormTime
	Intensity 0.20000000298023224
	NoiseType TurbulenceNoiseType_Random
	PeriodSpace 1.0
	TurbulenceForceAsInstantVelocity 0.0
	Octaves 3
	OctavePersistence 0.5
	PerParticleRandomness 0.0
TurbulanceData Instance103
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance128
		EvaluatorInput EfNormTime
	Intensity 0.20000000298023224
	NoiseType TurbulenceNoiseType_Random
	PeriodSpace 1.0
	TurbulenceForceAsInstantVelocity 0.0
	Octaves 3
	OctavePersistence 0.5
	PerParticleRandomness 0.0
UpdateAgeData Instance104
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance114
		EvaluatorInput EfOne
	Lifetime 3.0
	RandomLifetimeScale 0.5
	MaxFactor 1.0
UpdateAgeData Instance105
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance115
		EvaluatorInput EfOne
	Lifetime 3.0
	RandomLifetimeScale 0.5
	MaxFactor 1.0
UpdateAgeData Instance106
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance113
		EvaluatorInput EfOne
	Lifetime 3.0
	RandomLifetimeScale 0.5
	MaxFactor 1.0
UpdateAgeData Instance107
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance112
		EvaluatorInput EfOne
	Lifetime 3.0
	RandomLifetimeScale 0.5
	MaxFactor 1.0
UpdateLinearVelocityData Instance108
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateLinearVelocityData Instance109
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateLinearVelocityData Instance110
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateLinearVelocityData Instance111
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateRotationData Instance112
	$::ProcessorData
		$::DataContainer
		Pre Instance10
		NextProcessor Instance87
		EvaluatorInput EfNormTime
UpdateRotationData Instance113
	$::ProcessorData
		$::DataContainer
		Pre Instance23
		NextProcessor Instance84
		EvaluatorInput EfNormTime
UpdateRotationData Instance114
	$::ProcessorData
		$::DataContainer
		Pre Instance13
		NextProcessor Instance86
		EvaluatorInput EfNormTime
UpdateRotationData Instance115
	$::ProcessorData
		$::DataContainer
		Pre Instance28
		NextProcessor Instance85
		EvaluatorInput EfNormTime
UpdateSizeXData Instance116
	$::ProcessorData
		$::DataContainer
		Pre Instance12
		NextProcessor Instance120
		EvaluatorInput EfNormTime
UpdateSizeXData Instance117
	$::ProcessorData
		$::DataContainer
		Pre Instance9
		NextProcessor Instance121
		EvaluatorInput EfNormTime
UpdateSizeXData Instance118
	$::ProcessorData
		$::DataContainer
		Pre Instance25
		NextProcessor Instance122
		EvaluatorInput EfNormTime
UpdateSizeXData Instance119
	$::ProcessorData
		$::DataContainer
		Pre Instance16
		NextProcessor Instance123
		EvaluatorInput EfNormTime
UpdateSizeYData Instance120
	$::ProcessorData
		$::DataContainer
		Pre Instance38
		NextProcessor Instance124
		EvaluatorInput EfNormTime
UpdateSizeYData Instance121
	$::ProcessorData
		$::DataContainer
		Pre Instance35
		NextProcessor Instance127
		EvaluatorInput EfNormTime
UpdateSizeYData Instance122
	$::ProcessorData
		$::DataContainer
		Pre Instance32
		NextProcessor Instance126
		EvaluatorInput EfNormTime
UpdateSizeYData Instance123
	$::ProcessorData
		$::DataContainer
		Pre Instance39
		NextProcessor Instance125
		EvaluatorInput EfNormTime
UpdateSizeZData Instance124
	$::ProcessorData
		$::DataContainer
		Pre Instance15
		NextProcessor Instance94
		EvaluatorInput EfNormTime
UpdateSizeZData Instance125
	$::ProcessorData
		$::DataContainer
		Pre Instance30
		NextProcessor Instance93
		EvaluatorInput EfNormTime
UpdateSizeZData Instance126
	$::ProcessorData
		$::DataContainer
		Pre Instance22
		NextProcessor Instance92
		EvaluatorInput EfNormTime
UpdateSizeZData Instance127
	$::ProcessorData
		$::DataContainer
		Pre Instance20
		NextProcessor Instance95
		EvaluatorInput EfNormTime
WorldForcesData Instance128
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance133
		EvaluatorInput EfNormTime
	ForcesMultiplier 1.0
	PerParticleRandomness 0.0
WorldForcesData Instance129
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance134
		EvaluatorInput EfNormTime
	ForcesMultiplier 1.0
	PerParticleRandomness 0.0
WorldForcesData Instance130
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance135
		EvaluatorInput EfNormTime
	ForcesMultiplier 1.0
	PerParticleRandomness 0.0
WorldForcesData Instance131
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance132
		EvaluatorInput EfNormTime
	ForcesMultiplier 1.0
	PerParticleRandomness 0.0
WorldWindData Instance132
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance46
		EvaluatorInput EfNormTime
	WindMultiplier 1.0
	PerParticleRandomness 0.10000000149011612
WorldWindData Instance133
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance45
		EvaluatorInput EfNormTime
	WindMultiplier 1.0
	PerParticleRandomness 0.10000000149011612
WorldWindData Instance134
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance44
		EvaluatorInput EfNormTime
	WindMultiplier 1.0
	PerParticleRandomness 0.10000000149011612
WorldWindData Instance135
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance47
		EvaluatorInput EfNormTime
	WindMultiplier 1.0
	PerParticleRandomness 0.10000000149011612
