ScalableEmitterDocument 621a27d7-369d-464d-ae0e-d276eb43bd51
		member(23) 30975
		member(24) 19711
		member(25) 20479
		member(26) 30975
		member(27) 30463
		member(28) 19199
		member(29) 19967
		member(30) 30719
		member(31) 29183
		member(32) 18943
		member(33) 19455
		member(34) 30463
		member(35) 28927
		member(36) 18431
		member(37) 18943
		member(38) 30207
		member(39) 28159
		member(40) 18175
		member(41) 18175
		member(42) 28927
		member(43) 27391
		member(44) 17919
		member(45) 17663
		member(46) 27647
		member(47) 27135
		member(48) 17663
		member(49) 16639
		member(50) 27135
		member(51) 26879
		member(52) 17407
		member(53) 15871
		member(54) 26879
		member(55) 26623
		member(56) 17151
		member(57) 15615
		member(58) 26623
		member(59) 26367
		member(60) 16895
		member(61) 15359
		member(62) 25599
		member(63) 26111
		member(64) 16639
		member(65) 15103
		member(66) 25343
		member(67) 25855
		member(68) 15103
		member(69) 15103
		member(70) 25343
		member(71) 25855
		member(72) 14847
		member(73) 14847
		member(74) 25087
		member(75) 25599
		member(76) 14591
		member(77) 14591
		member(78) 25087
		member(79) 25599
		member(80) 14591
		member(81) 14335
		member(82) 24831
		member(83) 25087
		member(84) 14335
		member(85) 14079
		member(86) 24575
		member(87) 24575
		member(88) 14335
		member(89) 14079
		member(90) 24319
		member(91) 24319
		member(92) 14079
		member(93) 13567
		member(94) 23807
		member(95) 24063
		member(96) 14079
		member(97) 13567
		member(98) 23551
		member(99) 23807
		member(100) 13823
		member(101) 13567
		member(102) 23039
		member(103) 23295
		member(104) 13567
		member(105) 13311
		member(106) 22527
		member(107) 22783
		member(108) 13311
		member(109) 13055
		member(110) 22271
		member(111) 20479
		member(112) 13055
		member(113) 13055
		member(114) 22015
		member(115) 20223
		member(116) 12799
		member(117) 12799
		member(118) 21759
		member(119) 19967
		member(120) 12287
		member(121) 12287
		member(122) 21247
		member(123) 19455
		member(124) 12031
		member(125) 11775
		member(126) 20991
		member(127) 18175
		member(128) 11775
		member(129) 10495
		member(130) 20223
		member(131) 17151
UpdateClipScaleData Instance92
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance95
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 32767
		member(1) 32767
		member(2) 32767
		member(3) 32767
		member(4) 26239
		member(5) 26239
		member(6) 30847
		member(7) 28031
		member(8) 26239
		member(9) 26239
		member(10) 30847
		member(11) 28031
		member(12) 26239
		member(13) 26239
		member(14) 30847
		member(15) 28031
		member(16) 26239
		member(17) 25727
		member(18) 30847
		member(19) 28031
		member(20) 25343
		member(21) 20735
		member(22) 27647
		member(23) 26367
		member(24) 24831
		member(25) 18431
		member(26) 27263
		member(27) 24575
		member(28) 24447
		member(29) 17023
		member(30) 27135
		member(31) 24063
		member(32) 23807
		member(33) 15743
		member(34) 27007
		member(35) 23935
		member(36) 23551
		member(37) 14975
		member(38) 26879
		member(39) 23295
		member(40) 23295
		member(41) 14207
		member(42) 26751
		member(43) 23167
		member(44) 23039
		member(45) 13823
		member(46) 26751
		member(47) 22911
		member(48) 22911
		member(49) 12927
		member(50) 26751
		member(51) 22655
		member(52) 22655
		member(53) 12287
		member(54) 26623
		member(55) 22399
		member(56) 22271
		member(57) 11775
		member(58) 26623
		member(59) 22143
		member(60) 22143
		member(61) 11263
		member(62) 26495
		member(63) 22015
		member(64) 22015
		member(65) 10879
		member(66) 26367
		member(67) 21887
		member(68) 21887
		member(69) 10495
		member(70) 26367
		member(71) 21759
		member(72) 21631
		member(73) 9727
		member(74) 26239
		member(75) 21631
		member(76) 21503
		member(77) 8575
		member(78) 26239
		member(79) 21503
		member(80) 21375
		member(81) 8319
		member(82) 26111
		member(83) 21375
		member(84) 21375
		member(85) 7423
		member(86) 26111
		member(87) 21375
		member(88) 21247
		member(89) 6399
		member(90) 25983
		member(91) 21247
		member(92) 21247
		member(93) 4095
		member(94) 25983
		member(95) 20607
		member(96) 21119
		member(97) 3839
		member(98) 25855
		member(99) 20351
		member(100) 21119
		member(101) 3711
		member(102) 25727
		member(103) 19455
		member(104) 21119
		member(105) 1663
		member(106) 25727
		member(107) 17151
		member(108) 20479
		member(109) 1023
		member(110) 25471
		member(111) 15999
		member(112) 19199
		member(113) 0
		member(114) 25215
		member(115) 15487
		member(116) 16511
		member(117) 0
		member(118) 24063
		member(119) 15231
		member(120) 15231
		member(121) 0
		member(122) 24063
		member(123) 15103
		member(124) 15103
		member(125) 0
		member(126) 23935
		member(127) 5759
		member(128) 15103
		member(129) 0
		member(130) 23935
		member(131) 1279
UpdateLinearVelocityData Instance93
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateLinearVelocityData Instance94
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateLinearVelocityData Instance95
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateOrientationData Instance96
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance92
		EvaluatorInput EfNormTime
UpdateOrientationData Instance97
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance90
		EvaluatorInput EfNormTime
UpdateOrientationData Instance98
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance91
		EvaluatorInput EfNormTime
UpdateRotationData Instance99
	$::ProcessorData
		$::DataContainer
		Pre Instance17
		NextProcessor Instance69
		EvaluatorInput EfNormTime
UpdateRotationData Instance100
	$::ProcessorData
		$::DataContainer
		Pre Instance22
		NextProcessor Instance70
		EvaluatorInput EfNormTime
UpdateRotationData Instance101
	$::ProcessorData
		$::DataContainer
		Pre Instance9
		NextProcessor Instance71
		EvaluatorInput EfNormTime
UpdateSizeData Instance102
	$::ProcessorData
		$::DataContainer
		Pre Instance18
		NextProcessor Instance75
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateSizeData Instance103
	$::ProcessorData
		$::DataContainer
		Pre Instance8
		NextProcessor Instance76
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateSizeData Instance104
	$::ProcessorData
		$::DataContainer
		Pre Instance16
		NextProcessor Instance77
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateTextureCoordsData Instance105
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance55
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Smoke/Gen4/SmokeThick_01_5x5_D/b628d39b-4baf-4d3a-8b92-d1c8648f8506
	NormalTexture Systems/Emitter/DefaultNormalTexture/ffdd9e47-30b0-4c9e-9539-2f6240c340cc
UpdateTextureCoordsData Instance106
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance109
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Smoke/Gen4/SmokeThick_01_5x5_D/b628d39b-4baf-4d3a-8b92-d1c8648f8506
	NormalTexture Systems/Emitter/DefaultNormalTexture/ffdd9e47-30b0-4c9e-9539-2f6240c340cc
UpdateTextureCoordsData Instance107
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance110
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Smoke/Smoke_Thick_01_4x2/60fb40a3-65f6-4c97-87aa-0b8373ed44f1
	NormalTexture Systems/Emitter/DefaultNormalTexture/ffdd9e47-30b0-4c9e-9539-2f6240c340cc
UpdateTransparencyData Instance108
	$::ProcessorData
		$::DataContainer
		Pre Instance11
		NextProcessor Instance100
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
UpdateTransparencyData Instance109
	$::ProcessorData
		$::DataContainer
		Pre Instance7
		NextProcessor Instance99
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
UpdateTransparencyData Instance110
	$::ProcessorData
		$::DataContainer
		Pre Instance23
		NextProcessor Instance101
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
WorldWindData Instance111
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance85
		EvaluatorInput EfNormTime
	WindMultiplier 0.0
	PerParticleRandomness 0.19300000369548798
WorldWindData Instance112
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance86
		EvaluatorInput EfNormTime
	WindMultiplier 0.0
	PerParticleRandomness 0.19300000369548798
WorldWindData Instance113
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance87
		EvaluatorInput EfNormTime
	WindMultiplier 0.0
	PerParticleRandomness 0.19300000369548798
