Partition E70C69C5-EE6E-4B5F-B61F-2E4A1FDF8AA7
	InheritSpeedAndDirectionFromEmitter False
SpawnPositionData Instance88
	$::ProcessorData
		$::DataContainer
		Pre Instance42
		NextProcessor Instance108
		EvaluatorInput EfOne
SpawnPositionData Instance89
	$::ProcessorData
		$::DataContainer
		Pre Instance40
		NextProcessor Instance111
		EvaluatorInput EfOne
SpawnPositionData Instance90
	$::ProcessorData
		$::DataContainer
		Pre Instance41
		NextProcessor Instance110
		EvaluatorInput EfOne
SpawnPositionData Instance91
	$::ProcessorData
		$::DataContainer
		Pre Instance43
		NextProcessor Instance109
		EvaluatorInput EfOne
SpawnRateData Instance92
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance48
		EvaluatorInput EfOne
	SpawnRate 100000.0
	DistributeOverTime True
	DistributeOverDistance False
SpawnRateData Instance93
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance50
		EvaluatorInput EfOne
	SpawnRate 100000.0
	DistributeOverTime True
	DistributeOverDistance False
SpawnRateData Instance94
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance49
		EvaluatorInput EfOne
	SpawnRate 100000.0
	DistributeOverTime True
	DistributeOverDistance False
SpawnRateData Instance95
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance51
		EvaluatorInput EfOne
	SpawnRate 100000.0
	DistributeOverTime True
	DistributeOverDistance False
SpawnRotationData Instance96
	$::ProcessorData
		$::DataContainer
		Pre Instance65
		NextProcessor Instance101
		EvaluatorInput EfOne
	Rotation 180.0
SpawnRotationData Instance97
	$::ProcessorData
		$::DataContainer
		Pre Instance61
		NextProcessor Instance102
		EvaluatorInput EfOne
	Rotation 180.0
SpawnRotationData Instance98
	$::ProcessorData
		$::DataContainer
		Pre Instance75
		NextProcessor Instance103
		EvaluatorInput EfOne
	Rotation 180.0
SpawnRotationData Instance99
	$::ProcessorData
		$::DataContainer
		Pre Instance66
		NextProcessor Instance100
		EvaluatorInput EfOne
	Rotation 180.0
SpawnRotationSpeedData Instance100
	$::ProcessorData
		$::DataContainer
		Pre Instance74
		NextProcessor Instance143
		EvaluatorInput EfOne
	RotationSpeed 0.019999999552965164
SpawnRotationSpeedData Instance101
	$::ProcessorData
		$::DataContainer
		Pre Instance70
		NextProcessor Instance141
		EvaluatorInput EfOne
	RotationSpeed 0.019999999552965164
SpawnRotationSpeedData Instance102
	$::ProcessorData
		$::DataContainer
		Pre Instance68
		NextProcessor Instance142
		EvaluatorInput EfOne
	RotationSpeed 0.019999999552965164
SpawnRotationSpeedData Instance103
	$::ProcessorData
		$::DataContainer
		Pre Instance59
		NextProcessor Instance140
		EvaluatorInput EfOne
	RotationSpeed 0.019999999552965164
SpawnSizeData Instance104
	$::ProcessorData
		$::DataContainer
		Pre Instance60
		NextProcessor Instance86
		EvaluatorInput EfOne
	Size 8.0
SpawnSizeData Instance105
	$::ProcessorData
		$::DataContainer
		Pre Instance64
		NextProcessor Instance85
		EvaluatorInput EfOne
	Size 8.0
SpawnSizeData Instance106
	$::ProcessorData
		$::DataContainer
		Pre Instance67
		NextProcessor Instance84
		EvaluatorInput EfOne
	Size 8.0
SpawnSizeData Instance107
	$::ProcessorData
		$::DataContainer
		Pre Instance71
		NextProcessor Instance87
		EvaluatorInput EfOne
	Size 8.0
SpawnSpeedData Instance108
	$::ProcessorData
		$::DataContainer
		Pre Instance69
		NextProcessor Instance36
		EvaluatorInput EfOne
	Speed 20.0
SpawnSpeedData Instance109
	$::ProcessorData
		$::DataContainer
		Pre Instance63
		NextProcessor Instance38
		EvaluatorInput EfOne
	Speed 20.0
SpawnSpeedData Instance110
	$::ProcessorData
		$::DataContainer
		Pre Instance72
		NextProcessor Instance37
		EvaluatorInput EfOne
	Speed 20.0
SpawnSpeedData Instance111
	$::ProcessorData
		$::DataContainer
		Pre Instance57
		NextProcessor Instance39
		EvaluatorInput EfOne
	Speed 20.0
UpdateAgeData Instance112
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance92
		EvaluatorInput EfOne
	Lifetime 4.0
	RandomLifetimeScale 0.20000000298023224
	MaxFactor 1.0
UpdateAgeData Instance113
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance93
		EvaluatorInput EfOne
	Lifetime 4.0
	RandomLifetimeScale 0.20000000298023224
	MaxFactor 1.0
UpdateAgeData Instance114
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance95
		EvaluatorInput EfOne
	Lifetime 4.0
	RandomLifetimeScale 0.20000000298023224
	MaxFactor 1.0
UpdateAgeData Instance115
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance94
		EvaluatorInput EfOne
	Lifetime 4.0
	RandomLifetimeScale 0.20000000298023224
	MaxFactor 1.0
UpdateAlphaLevelMinData Instance116
	$::ProcessorData
		$::DataContainer
		Pre Instance20
		NextProcessor Instance147
		EvaluatorInput EfNormTime
	MinLevel 1.0
UpdateAlphaLevelMinData Instance117
	$::ProcessorData
		$::DataContainer
		Pre Instance33
		NextProcessor Instance144
		EvaluatorInput EfNormTime
	MinLevel 1.0
UpdateAlphaLevelMinData Instance118
	$::ProcessorData
		$::DataContainer
		Pre Instance17
		NextProcessor Instance135
		EvaluatorInput EfNormTime
	MinLevel 1.0
UpdateAlphaLevelMinData Instance119
	$::ProcessorData
		$::DataContainer
		Pre Instance23
		NextProcessor Instance133
		EvaluatorInput EfNormTime
	MinLevel 1.0
UpdateAlphaLevelScaleData Instance120
	$::ProcessorData
		$::DataContainer
		Pre Instance14
		NextProcessor Instance47
		EvaluatorInput EfNormTime
	Exponent 10.0
UpdateAlphaLevelScaleData Instance121
	$::ProcessorData
		$::DataContainer
		Pre Instance30
		NextProcessor Instance44
		EvaluatorInput EfNormTime
	Exponent 10.0
UpdateAlphaLevelScaleData Instance122
	$::ProcessorData
		$::DataContainer
		Pre Instance15
		NextProcessor Instance45
		EvaluatorInput EfNormTime
	Exponent 10.0
UpdateAlphaLevelScaleData Instance123
	$::ProcessorData
		$::DataContainer
		Pre Instance13
		NextProcessor Instance46
		EvaluatorInput EfNormTime
	Exponent 10.0
UpdateClipScaleData Instance124
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance129
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 32767
		member(1) 32767
		member(2) 32767
		member(3) 32767
		member(4) 32767
		member(5) 31999
		member(6) 32767
		member(7) 32639
		member(8) 32767
		member(9) 31999
		member(10) 32767
		member(11) 32639
		member(12) 32767
		member(13) 31999
		member(14) 32767
		member(15) 32639
		member(16) 32127
		member(17) 31999
		member(18) 32767
		member(19) 32639
		member(20) 31487
		member(21) 31231
		member(22) 32255
		member(23) 31615
		member(24) 30719
		member(25) 30079
		member(26) 30463
		member(27) 30463
		member(28) 28799
		member(29) 29951
		member(30) 30335
		member(31) 30207
		member(32) 28159
		member(33) 29823
		member(34) 30335
		member(35) 30079
		member(36) 27903
		member(37) 29823
		member(38) 30207
		member(39) 29823
		member(40) 27647
		member(41) 29823
		member(42) 30207
		member(43) 29695
		member(44) 27391
		member(45) 29439
		member(46) 29183
		member(47) 29695
		member(48) 27263
		member(49) 29311
		member(50) 29055
		member(51) 29695
		member(52) 27135
		member(53) 29311
		member(54) 29055
		member(55) 29567
		member(56) 27135
		member(57) 29183
		member(58) 29055
		member(59) 29567
		member(60) 27135
		member(61) 29183
		member(62) 28927
		member(63) 29055
		member(64) 27135
		member(65) 29183
		member(66) 28927
		member(67) 28927
		member(68) 27135
		member(69) 29055
		member(70) 28927
		member(71) 28415
		member(72) 27007
		member(73) 29055
		member(74) 28799
		member(75) 28287
		member(76) 27007
		member(77) 29055
		member(78) 28799
		member(79) 28287
		member(80) 27007
		member(81) 28927
		member(82) 28671
		member(83) 28287
		member(84) 26879
		member(85) 28927
		member(86) 28671
		member(87) 28287
		member(88) 26879
		member(89) 28927
		member(90) 28543
		member(91) 27647
		member(92) 26751
		member(93) 28799
		member(94) 28287
		member(95) 25727
		member(96) 26623
		member(97) 28799
		member(98) 28159
		member(99) 25727
		member(100) 26495
		member(101) 28799
		member(102) 27903
		member(103) 25599
		member(104) 26367
		member(105) 28671
		member(106) 27775
		member(107) 25471
		member(108) 26239
		member(109) 28671
		member(110) 27647
		member(111) 25471
		member(112) 26239
		member(113) 28671
		member(114) 27135
		member(115) 23679
		member(116) 26239
		member(117) 28543
		member(118) 27007
		member(119) 23551
		member(120) 25983
		member(121) 28159
		member(122) 27007
		member(123) 23295
		member(124) 25983
		member(125) 28159
		member(126) 25855
		member(127) 23295
		member(128) 25983
		member(129) 28031
		member(130) 25599
		member(131) 23167
UpdateClipScaleData Instance125
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance131
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 32767
		member(1) 32767
		member(2) 32767
		member(3) 32767
		member(4) 20735
		member(5) 21759
		member(6) 32511
		member(7) 31999
		member(8) 20735
		member(9) 21759
		member(10) 32511
		member(11) 31999
		member(12) 20735
		member(13) 21759
		member(14) 32511
		member(15) 31999
		member(16) 20479
		member(17) 21503
		member(18) 32255
		member(19) 31231
		member(20) 20223
		member(21) 20735
		member(22) 31743
		member(23) 30975
		member(24) 19711
		member(25) 20479
		member(26) 30975
		member(27) 30463
		member(28) 19199
		member(29) 19967
		member(30) 30719
		member(31) 29183
		member(32) 18943
		member(33) 19455
		member(34) 30463
		member(35) 28927
		member(36) 18431
		member(37) 18943
		member(38) 30207
		member(39) 28159
		member(40) 18175
		member(41) 18175
		member(42) 28927
		member(43) 27391
		member(44) 17919
		member(45) 17407
		member(46) 27647
		member(47) 27135
		member(48) 17663
		member(49) 16383
		member(50) 27135
		member(51) 26879
		member(52) 17407
		member(53) 15871
		member(54) 26879
		member(55) 26623
		member(56) 17151
		member(57) 15615
		member(58) 26111
		member(59) 26367
		member(60) 16895
		member(61) 15359
		member(62) 25599
		member(63) 26111
		member(64) 16383
		member(65) 15103
		member(66) 25343
		member(67) 25855
		member(68) 15103
		member(69) 14847
		member(70) 25343
		member(71) 25855
		member(72) 14847
		member(73) 14591
		member(74) 25087
		member(75) 25599
		member(76) 14591
		member(77) 14335
		member(78) 24831
		member(79) 25343
		member(80) 14335
		member(81) 14335
		member(82) 24575
		member(83) 24831
		member(84) 14335
		member(85) 14079
		member(86) 24575
		member(87) 24575
		member(88) 14079
		member(89) 13567
		member(90) 24063
		member(91) 24319
		member(92) 14079
		member(93) 13567
		member(94) 23807
		member(95) 24063
		member(96) 14079
		member(97) 13567
		member(98) 23295
		member(99) 23551
		member(100) 13823
		member(101) 13311
		member(102) 22783
		member(103) 23039
		member(104) 13567
		member(105) 13311
		member(106) 22527
		member(107) 22527
		member(108) 13311
		member(109) 13055
		member(110) 22271
		member(111) 20479
		member(112) 12799
		member(113) 12799
		member(114) 21759
		member(115) 20223
		member(116) 12799
		member(117) 12799
		member(118) 21503
		member(119) 19711
		member(120) 12287
		member(121) 12287
		member(122) 21247
		member(123) 19455
		member(124) 12031
		member(125) 11263
		member(126) 20991
		member(127) 17919
		member(128) 11519
		member(129) 10239
		member(130) 19967
		member(131) 14079
UpdateClipScaleData Instance126
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance130
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 32767
		member(1) 32767
		member(2) 32767
		member(3) 32767
		member(4) 20735
		member(5) 21759
		member(6) 32511
		member(7) 31999
		member(8) 20735
		member(9) 21759
		member(10) 32511
		member(11) 31999
		member(12) 20735
		member(13) 21759
		member(14) 32511
		member(15) 31999
		member(16) 20479
		member(17) 21503
		member(18) 32255
		member(19) 31231
		member(20) 20223
		member(21) 20735
		member(22) 31743
		member(23) 30975
		member(24) 19711
		member(25) 20479
		member(26) 30975
		member(27) 30463
		member(28) 19199
		member(29) 19967
		member(30) 30719
		member(31) 29183
		member(32) 18943
		member(33) 19455
		member(34) 30463
		member(35) 28927
		member(36) 18431
		member(37) 18943
		member(38) 30207
		member(39) 28159
		member(40) 18175
		member(41) 18175
		member(42) 28927
		member(43) 27391
		member(44) 17919
		member(45) 17407
		member(46) 27647
		member(47) 27135
		member(48) 17663
		member(49) 16383
		member(50) 27135
		member(51) 26879
		member(52) 17407
		member(53) 15871
		member(54) 26879
		member(55) 26623
		member(56) 17151
		member(57) 15615
		member(58) 26111
		member(59) 26367
		member(60) 16895
		member(61) 15359
		member(62) 25599
		member(63) 26111
		member(64) 16383
		member(65) 15103
		member(66) 25343
		member(67) 25855
		member(68) 15103
		member(69) 14847
		member(70) 25343
		member(71) 25855
		member(72) 14847
		member(73) 14591
		member(74) 25087
		member(75) 25599
		member(76) 14591
		member(77) 14335
		member(78) 24831
		member(79) 25343
		member(80) 14335
		member(81) 14335
		member(82) 24575
		member(83) 24831
		member(84) 14335
		member(85) 14079
		member(86) 24575
		member(87) 24575
		member(88) 14079
		member(89) 13567
		member(90) 24063
		member(91) 24319
		member(92) 14079
		member(93) 13567
		member(94) 23807
		member(95) 24063
		member(96) 14079
		member(97) 13567
		member(98) 23295
		member(99) 23551
		member(100) 13823
		member(101) 13311
		member(102) 22783
		member(103) 23039
		member(104) 13567
		member(105) 13311
		member(106) 22527
		member(107) 22527
		member(108) 13311
		member(109) 13055
		member(110) 22271
		member(111) 20479
		member(112) 12799
		member(113) 12799
		member(114) 21759
		member(115) 20223
		member(116) 12799
		member(117) 12799
		member(118) 21503
		member(119) 19711
		member(120) 12287
		member(121) 12287
		member(122) 21247
		member(123) 19455
		member(124) 12031
		member(125) 11263
		member(126) 20991
		member(127) 17919
		member(128) 11519
		member(129) 10239
		member(130) 19967
		member(131) 14079
UpdateClipScaleData Instance127
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance128
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 32767
		member(1) 32767
		member(2) 32767
		member(3) 32767
		member(4) 32767
		member(5) 31999
		member(6) 32767
		member(7) 32639
		member(8) 32767
		member(9) 31999
		member(10) 32767
		member(11) 32639
		member(12) 32767
		member(13) 31999
		member(14) 32767
		member(15) 32639
		member(16) 32127
		member(17) 31999
		member(18) 32767
		member(19) 32639
		member(20) 31487
		member(21) 31231
		member(22) 32255
		member(23) 31615
		member(24) 30719
		member(25) 30079
		member(26) 30463
		member(27) 30463
		member(28) 28799
		member(29) 29951
		member(30) 30335
		member(31) 30207
		member(32) 28159
		member(33) 29823
		member(34) 30335
		member(35) 30079
		member(36) 27903
		member(37) 29823
		member(38) 30207
		member(39) 29823
		member(40) 27647
		member(41) 29823
		member(42) 30207
		member(43) 29695
		member(44) 27391
		member(45) 29439
		member(46) 29183
		member(47) 29695
		member(48) 27263
		member(49) 29311
		member(50) 29055
		member(51) 29695
		member(52) 27135
		member(53) 29311
		member(54) 29055
		member(55) 29567
		member(56) 27135
		member(57) 29183
		member(58) 29055
		member(59) 29567
		member(60) 27135
		member(61) 29183
		member(62) 28927
		member(63) 29055
		member(64) 27135
		member(65) 29183
		member(66) 28927
		member(67) 28927
		member(68) 27135
		member(69) 29055
		member(70) 28927
		member(71) 28415
		member(72) 27007
		member(73) 29055
		member(74) 28799
		member(75) 28287
		member(76) 27007
		member(77) 29055
		member(78) 28799
		member(79) 28287
		member(80) 27007
		member(81) 28927
		member(82) 28671
		member(83) 28287
		member(84) 26879
		member(85) 28927
		member(86) 28671
		member(87) 28287
		member(88) 26879
		member(89) 28927
		member(90) 28543
		member(91) 27647
		member(92) 26751
		member(93) 28799
		member(94) 28287
		member(95) 25727
		member(96) 26623
		member(97) 28799
		member(98) 28159
		member(99) 25727
		member(100) 26495
		member(101) 28799
		member(102) 27903
		member(103) 25599
		member(104) 26367
		member(105) 28671
		member(106) 27775
		member(107) 25471
		member(108) 26239
		member(109) 28671
		member(110) 27647
		member(111) 25471
		member(112) 26239
		member(113) 28671
		member(114) 27135
		member(115) 23679
		member(116) 26239
		member(117) 28543
		member(118) 27007
		member(119) 23551
		member(120) 25983
		member(121) 28159
		member(122) 27007
		member(123) 23295
		member(124) 25983
		member(125) 28159
		member(126) 25855
		member(127) 23295
		member(128) 25983
		member(129) 28031
		member(130) 25599
		member(131) 23167
UpdateLinearVelocityData Instance128
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateLinearVelocityData Instance129
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateLinearVelocityData Instance130
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateLinearVelocityData Instance131
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateOrientationData Instance132
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance126
		EvaluatorInput EfNormTime
UpdateOrientationData Instance133
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance127
		EvaluatorInput EfNormTime
UpdateOrientationData Instance134
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance125
		EvaluatorInput EfNormTime
UpdateOrientationData Instance135
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance124
		EvaluatorInput EfNormTime
UpdateRotationData Instance136
	$::ProcessorData
		$::DataContainer
		Pre Instance28
		NextProcessor Instance99
		EvaluatorInput EfNormTime
UpdateRotationData Instance137
	$::ProcessorData
		$::DataContainer
		Pre Instance27
		NextProcessor Instance96
		EvaluatorInput EfNormTime
UpdateRotationData Instance138
	$::ProcessorData
		$::DataContainer
		Pre Instance19
		NextProcessor Instance98
		EvaluatorInput EfNormTime
UpdateRotationData Instance139
	$::ProcessorData
		$::DataContainer
		Pre Instance26
		NextProcessor Instance97
		EvaluatorInput EfNormTime
UpdateSizeData Instance140
	$::ProcessorData
		$::DataContainer
		Pre Instance21
		NextProcessor Instance106
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateSizeData Instance141
	$::ProcessorData
		$::DataContainer
		Pre Instance16
		NextProcessor Instance104
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateSizeData Instance142
	$::ProcessorData
		$::DataContainer
		Pre Instance22
		NextProcessor Instance105
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateSizeData Instance143
	$::ProcessorData
		$::DataContainer
		Pre Instance24
		NextProcessor Instance107
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateTextureCoordsData Instance144
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance78
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Smoke/Gen4/SmokeThick_01_5x5_D/B628D39B-4BAF-4D3A-8B92-D1C8648F8506
	NormalTexture Systems/Emitter/DefaultNormalTexture/FFDD9E47-30B0-4C9E-9539-2F6240C340CC
UpdateTextureCoordsData Instance145
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance150
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Muzzleflash/MuzzleFlash_3p_16x4/38368112-E9B2-606D-37C2-6B815C1CA884
	NormalTexture Systems/Emitter/DefaultNormalTexture/FFDD9E47-30B0-4C9E-9539-2F6240C340CC
UpdateTextureCoordsData Instance146
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance149
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Muzzleflash/MuzzleFlash_3p_16x4/38368112-E9B2-606D-37C2-6B815C1CA884
	NormalTexture Systems/Emitter/DefaultNormalTexture/FFDD9E47-30B0-4C9E-9539-2F6240C340CC
UpdateTextureCoordsData Instance147
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance76
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Smoke/Gen4/SmokeThick_01_5x5_D/B628D39B-4BAF-4D3A-8B92-D1C8648F8506
	NormalTexture Systems/Emitter/DefaultNormalTexture/FFDD9E47-30B0-4C9E-9539-2F6240C340CC
UpdateTransparencyData Instance148
	$::ProcessorData
		$::DataContainer
		Pre Instance25
		NextProcessor Instance136
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
UpdateTransparencyData Instance149
	$::ProcessorData
		$::DataContainer
		Pre Instance34
		NextProcessor Instance139
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
UpdateTransparencyData Instance150
	$::ProcessorData
		$::DataContainer
		Pre Instance12
		NextProcessor Instance137
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
UpdateTransparencyData Instance151
	$::ProcessorData
		$::DataContainer
		Pre Instance32
		NextProcessor Instance138
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
WorldWindData Instance152
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance122
		EvaluatorInput EfNormTime
	WindMultiplier 1.0
	PerParticleRandomness 1.0
WorldWindData Instance153
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance121
		EvaluatorInput EfNormTime
	WindMultiplier 1.0
	PerParticleRandomness 1.0
WorldWindData Instance154
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance120
		EvaluatorInput EfNormTime
	WindMultiplier 1.0
	PerParticleRandomness 1.0
WorldWindData Instance155
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance123
		EvaluatorInput EfNormTime
	WindMultiplier 1.0
	PerParticleRandomness 1.0
