Partition 6F240835-63CF-4FDA-99B5-3976DC1AAD1B
		member(23) 31743
		member(24) 30719
		member(25) 30207
		member(26) 30975
		member(27) 31743
		member(28) 30719
		member(29) 30207
		member(30) 30975
		member(31) 31743
		member(32) 30719
		member(33) 29951
		member(34) 30975
		member(35) 31743
		member(36) 30719
		member(37) 29951
		member(38) 30975
		member(39) 31743
		member(40) 30719
		member(41) 29951
		member(42) 30975
		member(43) 31743
		member(44) 30719
		member(45) 29951
		member(46) 30975
		member(47) 31743
		member(48) 30719
		member(49) 29951
		member(50) 30975
		member(51) 31743
		member(52) 30719
		member(53) 29951
		member(54) 30975
		member(55) 31743
		member(56) 30719
		member(57) 29951
		member(58) 30975
		member(59) 31743
		member(60) 30719
		member(61) 29951
		member(62) 30975
		member(63) 31743
		member(64) 30719
		member(65) 29951
		member(66) 30975
		member(67) 31743
		member(68) 30719
		member(69) 29951
		member(70) 30719
		member(71) 31743
		member(72) 30719
		member(73) 29695
		member(74) 30719
		member(75) 31743
		member(76) 30463
		member(77) 29695
		member(78) 30463
		member(79) 31743
		member(80) 30463
		member(81) 29439
		member(82) 30463
		member(83) 31487
		member(84) 30463
		member(85) 29439
		member(86) 30207
		member(87) 31487
		member(88) 30207
		member(89) 29439
		member(90) 30207
		member(91) 31487
		member(92) 30207
		member(93) 29183
		member(94) 30207
		member(95) 31487
		member(96) 29951
		member(97) 29183
		member(98) 29951
		member(99) 31231
		member(100) 29951
		member(101) 28927
		member(102) 29951
		member(103) 31231
		member(104) 29695
		member(105) 28671
		member(106) 29695
		member(107) 31231
		member(108) 29439
		member(109) 28671
		member(110) 29439
		member(111) 30975
		member(112) 28927
		member(113) 28159
		member(114) 29183
		member(115) 30719
		member(116) 28671
		member(117) 25343
		member(118) 28671
		member(119) 30719
		member(120) 27647
		member(121) 25087
		member(122) 28159
		member(123) 30207
		member(124) 27135
		member(125) 25087
		member(126) 27391
		member(127) 27135
		member(128) 26623
		member(129) 24575
		member(130) 26367
		member(131) 26623
UpdateClipScaleData Instance89
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance90
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 32767
		member(1) 30207
		member(2) 30975
		member(3) 32767
		member(4) 30719
		member(5) 30207
		member(6) 30975
		member(7) 31743
		member(8) 30719
		member(9) 30207
		member(10) 30975
		member(11) 31743
		member(12) 30719
		member(13) 30207
		member(14) 30975
		member(15) 31743
		member(16) 30719
		member(17) 30207
		member(18) 30975
		member(19) 31743
		member(20) 30719
		member(21) 30207
		member(22) 30975
		member(23) 31743
		member(24) 30719
		member(25) 30207
		member(26) 30975
		member(27) 31743
		member(28) 30719
		member(29) 30207
		member(30) 30975
		member(31) 31743
		member(32) 30719
		member(33) 29951
		member(34) 30975
		member(35) 31743
		member(36) 30719
		member(37) 29951
		member(38) 30975
		member(39) 31743
		member(40) 30719
		member(41) 29951
		member(42) 30975
		member(43) 31743
		member(44) 30719
		member(45) 29951
		member(46) 30975
		member(47) 31743
		member(48) 30719
		member(49) 29951
		member(50) 30975
		member(51) 31743
		member(52) 30719
		member(53) 29951
		member(54) 30975
		member(55) 31743
		member(56) 30719
		member(57) 29951
		member(58) 30975
		member(59) 31743
		member(60) 30719
		member(61) 29951
		member(62) 30975
		member(63) 31743
		member(64) 30719
		member(65) 29951
		member(66) 30975
		member(67) 31743
		member(68) 30719
		member(69) 29951
		member(70) 30719
		member(71) 31743
		member(72) 30719
		member(73) 29695
		member(74) 30719
		member(75) 31743
		member(76) 30463
		member(77) 29695
		member(78) 30463
		member(79) 31743
		member(80) 30463
		member(81) 29439
		member(82) 30463
		member(83) 31487
		member(84) 30463
		member(85) 29439
		member(86) 30207
		member(87) 31487
		member(88) 30207
		member(89) 29439
		member(90) 30207
		member(91) 31487
		member(92) 30207
		member(93) 29183
		member(94) 30207
		member(95) 31487
		member(96) 29951
		member(97) 29183
		member(98) 29951
		member(99) 31231
		member(100) 29951
		member(101) 28927
		member(102) 29951
		member(103) 31231
		member(104) 29695
		member(105) 28671
		member(106) 29695
		member(107) 31231
		member(108) 29439
		member(109) 28671
		member(110) 29439
		member(111) 30975
		member(112) 28927
		member(113) 28159
		member(114) 29183
		member(115) 30719
		member(116) 28671
		member(117) 25343
		member(118) 28671
		member(119) 30719
		member(120) 27647
		member(121) 25087
		member(122) 28159
		member(123) 30207
		member(124) 27135
		member(125) 25087
		member(126) 27391
		member(127) 27135
		member(128) 26623
		member(129) 24575
		member(130) 26367
		member(131) 26623
UpdateLinearVelocityData Instance90
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateLinearVelocityData Instance91
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateLinearVelocityData Instance92
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateOrientationData Instance93
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance89
		EvaluatorInput EfNormTime
UpdateOrientationData Instance94
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance87
		EvaluatorInput EfNormTime
UpdateOrientationData Instance95
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance88
		EvaluatorInput EfNormTime
UpdateRotationData Instance96
	$::ProcessorData
		$::DataContainer
		Pre Instance20
		NextProcessor Instance67
		EvaluatorInput EfNormTime
UpdateRotationData Instance97
	$::ProcessorData
		$::DataContainer
		Pre Instance17
		NextProcessor Instance66
		EvaluatorInput EfNormTime
UpdateRotationData Instance98
	$::ProcessorData
		$::DataContainer
		Pre Instance19
		NextProcessor Instance68
		EvaluatorInput EfNormTime
UpdateSizeData Instance99
	$::ProcessorData
		$::DataContainer
		Pre Instance7
		NextProcessor Instance73
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateSizeData Instance100
	$::ProcessorData
		$::DataContainer
		Pre Instance8
		NextProcessor Instance72
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateSizeData Instance101
	$::ProcessorData
		$::DataContainer
		Pre Instance14
		NextProcessor Instance74
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateTextureCoordsData Instance102
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance105
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Fire/FireSmall_01_4x2/67233C27-17F7-47C9-97C7-D4F040B5A186
	NormalTexture Systems/Emitter/DefaultNormalTexture/FFDD9E47-30B0-4C9E-9539-2F6240C340CC
UpdateTextureCoordsData Instance103
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance107
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Fire/FireSmall_01_4x2/67233C27-17F7-47C9-97C7-D4F040B5A186
	NormalTexture Systems/Emitter/DefaultNormalTexture/FFDD9E47-30B0-4C9E-9539-2F6240C340CC
UpdateTextureCoordsData Instance104
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance106
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Fire/FireSmall_01_4x2/67233C27-17F7-47C9-97C7-D4F040B5A186
	NormalTexture Systems/Emitter/DefaultNormalTexture/FFDD9E47-30B0-4C9E-9539-2F6240C340CC
UpdateTransparencyData Instance105
	$::ProcessorData
		$::DataContainer
		Pre Instance12
		NextProcessor Instance113
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
UpdateTransparencyData Instance106
	$::ProcessorData
		$::DataContainer
		Pre Instance18
		NextProcessor Instance112
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
UpdateTransparencyData Instance107
	$::ProcessorData
		$::DataContainer
		Pre Instance10
		NextProcessor Instance111
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
WorldForcesData Instance108
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance85
		EvaluatorInput EfNormTime
	ForcesMultiplier 0.05000000074505806
	PerParticleRandomness 0.0
WorldForcesData Instance109
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance84
		EvaluatorInput EfNormTime
	ForcesMultiplier 0.05000000074505806
	PerParticleRandomness 0.0
WorldForcesData Instance110
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance86
		EvaluatorInput EfNormTime
	ForcesMultiplier 0.05000000074505806
	PerParticleRandomness 0.0
WorldWindData Instance111
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance108
		EvaluatorInput EfNormTime
	WindMultiplier 0.5
	PerParticleRandomness 0.0
WorldWindData Instance112
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance110
		EvaluatorInput EfNormTime
	WindMultiplier 0.5
	PerParticleRandomness 0.0
WorldWindData Instance113
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance109
		EvaluatorInput EfNormTime
	WindMultiplier 0.5
	PerParticleRandomness 0.0
