ScalableEmitterDocument f5dbc8ee-4a30-4dcf-8a41-1a6001356079
	Speed 6.0
TurbulanceData Instance100
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance108
		EvaluatorInput EfNormTime
	Intensity 0.10000000149011612
	NoiseType TurbulenceNoiseType_Random
	PeriodSpace 1.0
	TurbulenceForceAsInstantVelocity 0.0
	Octaves 1
	OctavePersistence 0.5
	PerParticleRandomness 0.0
TurbulanceData Instance101
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance111
		EvaluatorInput EfNormTime
	Intensity 0.10000000149011612
	NoiseType TurbulenceNoiseType_Random
	PeriodSpace 1.0
	TurbulenceForceAsInstantVelocity 0.0
	Octaves 1
	OctavePersistence 0.5
	PerParticleRandomness 0.0
TurbulanceData Instance102
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance110
		EvaluatorInput EfNormTime
	Intensity 0.10000000149011612
	NoiseType TurbulenceNoiseType_Random
	PeriodSpace 1.0
	TurbulenceForceAsInstantVelocity 0.0
	Octaves 1
	OctavePersistence 0.5
	PerParticleRandomness 0.0
TurbulanceData Instance103
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance109
		EvaluatorInput EfNormTime
	Intensity 0.10000000149011612
	NoiseType TurbulenceNoiseType_Random
	PeriodSpace 1.0
	TurbulenceForceAsInstantVelocity 0.0
	Octaves 1
	OctavePersistence 0.5
	PerParticleRandomness 0.0
UpdateAgeData Instance104
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance81
		EvaluatorInput EfOne
	Lifetime 0.75
	RandomLifetimeScale 0.30000001192092896
	MaxFactor 1.0
UpdateAgeData Instance105
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance83
		EvaluatorInput EfOne
	Lifetime 1.0
	RandomLifetimeScale 0.30000001192092896
	MaxFactor 1.0
UpdateAgeData Instance106
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance80
		EvaluatorInput EfOne
	Lifetime 1.0
	RandomLifetimeScale 0.30000001192092896
	MaxFactor 1.0
UpdateAgeData Instance107
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance82
		EvaluatorInput EfOne
	Lifetime 0.8500000238418579
	RandomLifetimeScale 0.30000001192092896
	MaxFactor 1.0
UpdateAlphaLevelMaxData Instance108
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance112
		EvaluatorInput EfNormTime
	MaxLevel 0.7990000247955322
UpdateAlphaLevelMaxData Instance109
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance113
		EvaluatorInput EfNormTime
	MaxLevel 0.7990000247955322
UpdateAlphaLevelMaxData Instance110
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance115
		EvaluatorInput EfNormTime
	MaxLevel 0.7990000247955322
UpdateAlphaLevelMaxData Instance111
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance114
		EvaluatorInput EfNormTime
	MaxLevel 0.7990000247955322
UpdateAlphaLevelMinData Instance112
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance33
		EvaluatorInput EfNormTime
	MinLevel 0.2759999930858612
UpdateAlphaLevelMinData Instance113
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance35
		EvaluatorInput EfNormTime
	MinLevel 0.2759999930858612
UpdateAlphaLevelMinData Instance114
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance34
		EvaluatorInput EfNormTime
	MinLevel 0.2759999930858612
UpdateAlphaLevelMinData Instance115
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance32
		EvaluatorInput EfNormTime
	MinLevel 0.2759999930858612
UpdateClipScaleData Instance116
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance123
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 32767
		member(1) 32767
		member(2) 32767
		member(3) 32767
		member(4) 20479
		member(5) 18431
		member(6) 22527
		member(7) 16383
		member(8) 20479
		member(9) 18431
		member(10) 22527
		member(11) 16383
		member(12) 20479
		member(13) 18431
		member(14) 22527
		member(15) 16383
		member(16) 20479
		member(17) 18431
		member(18) 22527
		member(19) 16383
		member(20) 20479
		member(21) 18431
		member(22) 22527
		member(23) 16383
		member(24) 20479
		member(25) 18431
		member(26) 22527
		member(27) 16383
		member(28) 20479
		member(29) 18431
		member(30) 22527
		member(31) 16383
		member(32) 20479
		member(33) 18431
		member(34) 22527
		member(35) 16383
		member(36) 20479
		member(37) 18431
		member(38) 22527
		member(39) 16383
		member(40) 20479
		member(41) 18431
		member(42) 22527
		member(43) 16383
		member(44) 20479
		member(45) 18431
		member(46) 22527
		member(47) 16383
		member(48) 20479
		member(49) 18431
		member(50) 22527
		member(51) 16383
		member(52) 20479
		member(53) 18431
		member(54) 22527
		member(55) 16383
		member(56) 20479
		member(57) 18431
		member(58) 22527
		member(59) 16383
		member(60) 20479
		member(61) 18431
		member(62) 22527
		member(63) 16383
		member(64) 20479
		member(65) 18431
		member(66) 22527
		member(67) 16383
		member(68) 20479
		member(69) 18431
		member(70) 22527
		member(71) 16383
		member(72) 20479
		member(73) 18431
		member(74) 22527
		member(75) 16383
		member(76) 20479
		member(77) 18431
		member(78) 22527
		member(79) 16383
		member(80) 20479
		member(81) 18431
		member(82) 22527
		member(83) 16383
		member(84) 20479
		member(85) 18431
		member(86) 22527
		member(87) 16383
		member(88) 20479
		member(89) 18431
		member(90) 22527
		member(91) 16383
		member(92) 20479
		member(93) 18431
		member(94) 22527
		member(95) 16383
		member(96) 20479
		member(97) 18431
		member(98) 22527
		member(99) 16383
		member(100) 20479
		member(101) 18431
		member(102) 22527
		member(103) 16383
		member(104) 20479
		member(105) 18431
		member(106) 22527
		member(107) 16383
		member(108) 20479
		member(109) 18431
		member(110) 22527
		member(111) 16383
		member(112) 20479
		member(113) 18431
		member(114) 22527
		member(115) 16383
		member(116) 20479
		member(117) 18431
		member(118) 22527
		member(119) 16383
		member(120) 20479
		member(121) 18431
		member(122) 22527
		member(123) 16383
		member(124) 20479
		member(125) 18431
		member(126) 22527
		member(127) 16383
		member(128) 20479
		member(129) 18431
		member(130) 22527
		member(131) 16383
UpdateClipScaleData Instance117
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance120
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 32767
		member(1) 32767
		member(2) 32767
		member(3) 32767
		member(4) 20479
		member(5) 18431
		member(6) 22527
		member(7) 16383
		member(8) 20479
		member(9) 18431
		member(10) 22527
		member(11) 16383
		member(12) 20479
		member(13) 18431
		member(14) 22527
		member(15) 16383
		member(16) 20479
		member(17) 18431
		member(18) 22527
		member(19) 16383
		member(20) 20479
		member(21) 18431
		member(22) 22527
		member(23) 16383
		member(24) 20479
		member(25) 18431
		member(26) 22527
		member(27) 16383
		member(28) 20479
		member(29) 18431
		member(30) 22527
		member(31) 16383
		member(32) 20479
		member(33) 18431
		member(34) 22527
		member(35) 16383
		member(36) 20479
		member(37) 18431
		member(38) 22527
		member(39) 16383
		member(40) 20479
		member(41) 18431
		member(42) 22527
		member(43) 16383
		member(44) 20479
		member(45) 18431
		member(46) 22527
		member(47) 16383
		member(48) 20479
		member(49) 18431
		member(50) 22527
		member(51) 16383
		member(52) 20479
		member(53) 18431
		member(54) 22527
		member(55) 16383
		member(56) 20479
		member(57) 18431
		member(58) 22527
		member(59) 16383
		member(60) 20479
		member(61) 18431
		member(62) 22527
		member(63) 16383
		member(64) 20479
		member(65) 18431
		member(66) 22527
		member(67) 16383
		member(68) 20479
		member(69) 18431
		member(70) 22527
		member(71) 16383
		member(72) 20479
		member(73) 18431
		member(74) 22527
		member(75) 16383
		member(76) 20479
		member(77) 18431
		member(78) 22527
		member(79) 16383
		member(80) 20479
		member(81) 18431
		member(82) 22527
		member(83) 16383
		member(84) 20479
		member(85) 18431
		member(86) 22527
		member(87) 16383
		member(88) 20479
		member(89) 18431
		member(90) 22527
		member(91) 16383
		member(92) 20479
		member(93) 18431
		member(94) 22527
		member(95) 16383
		member(96) 20479
		member(97) 18431
		member(98) 22527
		member(99) 16383
		member(100) 20479
		member(101) 18431
		member(102) 22527
		member(103) 16383
		member(104) 20479
		member(105) 18431
		member(106) 22527
		member(107) 16383
		member(108) 20479
		member(109) 18431
		member(110) 22527
		member(111) 16383
		member(112) 20479
		member(113) 18431
		member(114) 22527
		member(115) 16383
		member(116) 20479
		member(117) 18431
		member(118) 22527
		member(119) 16383
		member(120) 20479
		member(121) 18431
		member(122) 22527
		member(123) 16383
		member(124) 20479
		member(125) 18431
		member(126) 22527
		member(127) 16383
		member(128) 20479
		member(129) 18431
		member(130) 22527
		member(131) 16383
UpdateClipScaleData Instance118
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance122
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 32767
		member(1) 32767
		member(2) 32767
		member(3) 32767
		member(4) 20479
		member(5) 18431
		member(6) 22527
		member(7) 16383
		member(8) 20479
		member(9) 18431
		member(10) 22527
		member(11) 16383
		member(12) 20479
		member(13) 18431
		member(14) 22527
		member(15) 16383
		member(16) 20479
		member(17) 18431
		member(18) 22527
		member(19) 16383
		member(20) 20479
		member(21) 18431
		member(22) 22527
		member(23) 16383
		member(24) 20479
		member(25) 18431
		member(26) 22527
		member(27) 16383
		member(28) 20479
		member(29) 18431
		member(30) 22527
		member(31) 16383
		member(32) 20479
		member(33) 18431
		member(34) 22527
		member(35) 16383
		member(36) 20479
		member(37) 18431
		member(38) 22527
		member(39) 16383
		member(40) 20479
		member(41) 18431
		member(42) 22527
		member(43) 16383
		member(44) 20479
		member(45) 18431
		member(46) 22527
		member(47) 16383
		member(48) 20479
		member(49) 18431
		member(50) 22527
		member(51) 16383
		member(52) 20479
		member(53) 18431
		member(54) 22527
		member(55) 16383
		member(56) 20479
		member(57) 18431
		member(58) 22527
		member(59) 16383
		member(60) 20479
		member(61) 18431
		member(62) 22527
		member(63) 16383
		member(64) 20479
		member(65) 18431
		member(66) 22527
		member(67) 16383
		member(68) 20479
		member(69) 18431
		member(70) 22527
		member(71) 16383
		member(72) 20479
		member(73) 18431
		member(74) 22527
		member(75) 16383
		member(76) 20479
		member(77) 18431
		member(78) 22527
		member(79) 16383
		member(80) 20479
		member(81) 18431
		member(82) 22527
		member(83) 16383
		member(84) 20479
		member(85) 18431
		member(86) 22527
		member(87) 16383
		member(88) 20479
		member(89) 18431
		member(90) 22527
		member(91) 16383
		member(92) 20479
		member(93) 18431
		member(94) 22527
		member(95) 16383
		member(96) 20479
		member(97) 18431
		member(98) 22527
		member(99) 16383
		member(100) 20479
		member(101) 18431
		member(102) 22527
		member(103) 16383
		member(104) 20479
		member(105) 18431
		member(106) 22527
		member(107) 16383
		member(108) 20479
		member(109) 18431
		member(110) 22527
		member(111) 16383
		member(112) 20479
		member(113) 18431
		member(114) 22527
		member(115) 16383
		member(116) 20479
		member(117) 18431
		member(118) 22527
		member(119) 16383
		member(120) 20479
		member(121) 18431
		member(122) 22527
		member(123) 16383
		member(124) 20479
		member(125) 18431
		member(126) 22527
		member(127) 16383
		member(128) 20479
		member(129) 18431
		member(130) 22527
		member(131) 16383
UpdateClipScaleData Instance119
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance121
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 32767
		member(1) 32767
		member(2) 32767
		member(3) 32767
		member(4) 20479
		member(5) 18431
		member(6) 22527
		member(7) 16383
		member(8) 20479
		member(9) 18431
		member(10) 22527
		member(11) 16383
		member(12) 20479
		member(13) 18431
		member(14) 22527
		member(15) 16383
		member(16) 20479
		member(17) 18431
		member(18) 22527
		member(19) 16383
		member(20) 20479
		member(21) 18431
		member(22) 22527
		member(23) 16383
		member(24) 20479
		member(25) 18431
		member(26) 22527
		member(27) 16383
		member(28) 20479
		member(29) 18431
		member(30) 22527
		member(31) 16383
		member(32) 20479
		member(33) 18431
		member(34) 22527
		member(35) 16383
		member(36) 20479
		member(37) 18431
		member(38) 22527
		member(39) 16383
		member(40) 20479
		member(41) 18431
		member(42) 22527
		member(43) 16383
		member(44) 20479
		member(45) 18431
		member(46) 22527
		member(47) 16383
		member(48) 20479
		member(49) 18431
		member(50) 22527
		member(51) 16383
		member(52) 20479
		member(53) 18431
		member(54) 22527
		member(55) 16383
		member(56) 20479
		member(57) 18431
		member(58) 22527
		member(59) 16383
		member(60) 20479
		member(61) 18431
		member(62) 22527
		member(63) 16383
		member(64) 20479
		member(65) 18431
		member(66) 22527
		member(67) 16383
		member(68) 20479
		member(69) 18431
		member(70) 22527
		member(71) 16383
		member(72) 20479
		member(73) 18431
		member(74) 22527
		member(75) 16383
		member(76) 20479
		member(77) 18431
		member(78) 22527
		member(79) 16383
		member(80) 20479
		member(81) 18431
		member(82) 22527
		member(83) 16383
		member(84) 20479
		member(85) 18431
		member(86) 22527
		member(87) 16383
		member(88) 20479
		member(89) 18431
		member(90) 22527
		member(91) 16383
		member(92) 20479
		member(93) 18431
		member(94) 22527
		member(95) 16383
		member(96) 20479
		member(97) 18431
		member(98) 22527
		member(99) 16383
		member(100) 20479
		member(101) 18431
		member(102) 22527
		member(103) 16383
		member(104) 20479
		member(105) 18431
		member(106) 22527
		member(107) 16383
		member(108) 20479
		member(109) 18431
		member(110) 22527
		member(111) 16383
		member(112) 20479
		member(113) 18431
		member(114) 22527
		member(115) 16383
		member(116) 20479
		member(117) 18431
		member(118) 22527
		member(119) 16383
		member(120) 20479
		member(121) 18431
		member(122) 22527
		member(123) 16383
		member(124) 20479
		member(125) 18431
		member(126) 22527
		member(127) 16383
		member(128) 20479
		member(129) 18431
		member(130) 22527
		member(131) 16383
UpdateLinearVelocityData Instance120
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateLinearVelocityData Instance121
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateLinearVelocityData Instance122
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateLinearVelocityData Instance123
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateOrientationData Instance124
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance117
		EvaluatorInput EfNormTime
UpdateOrientationData Instance125
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance116
		EvaluatorInput EfNormTime
UpdateOrientationData Instance126
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance119
		EvaluatorInput EfNormTime
UpdateOrientationData Instance127
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance118
		EvaluatorInput EfNormTime
UpdateRotationData Instance128
	$::ProcessorData
		$::DataContainer
		Pre Instance9
		NextProcessor Instance85
		EvaluatorInput EfNormTime
UpdateRotationData Instance129
	$::ProcessorData
		$::DataContainer
		Pre Instance19
		NextProcessor Instance87
		EvaluatorInput EfNormTime
UpdateRotationData Instance130
	$::ProcessorData
		$::DataContainer
		Pre Instance13
		NextProcessor Instance86
		EvaluatorInput EfNormTime
UpdateRotationData Instance131
	$::ProcessorData
		$::DataContainer
		Pre Instance12
		NextProcessor Instance84
		EvaluatorInput EfNormTime
UpdateSizeData Instance132
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance125
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateSizeData Instance133
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance124
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateSizeData Instance134
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance127
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateSizeData Instance135
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance126
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateSizeXData Instance136
	$::ProcessorData
		$::DataContainer
		Pre Instance14
		NextProcessor Instance140
		EvaluatorInput EfNormTime
UpdateSizeXData Instance137
	$::ProcessorData
		$::DataContainer
		Pre Instance10
		NextProcessor Instance141
		EvaluatorInput EfNormTime
UpdateSizeXData Instance138
	$::ProcessorData
		$::DataContainer
		Pre Instance20
		NextProcessor Instance142
		EvaluatorInput EfNormTime
UpdateSizeXData Instance139
	$::ProcessorData
		$::DataContainer
		Pre Instance17
		NextProcessor Instance143
		EvaluatorInput EfNormTime
UpdateSizeYData Instance140
	$::ProcessorData
		$::DataContainer
		Pre Instance11
		NextProcessor Instance95
		EvaluatorInput EfNormTime
UpdateSizeYData Instance141
	$::ProcessorData
		$::DataContainer
		Pre Instance21
		NextProcessor Instance93
		EvaluatorInput EfNormTime
UpdateSizeYData Instance142
	$::ProcessorData
		$::DataContainer
		Pre Instance18
		NextProcessor Instance94
		EvaluatorInput EfNormTime
UpdateSizeYData Instance143
	$::ProcessorData
		$::DataContainer
		Pre Instance25
		NextProcessor Instance92
		EvaluatorInput EfNormTime
UpdateTextureCoordsData Instance144
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance148
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Sparks/Sparks_16x4_01/2a05004b-f7c7-43e6-8631-1053ab283763
	NormalTexture Systems/Emitter/DefaultNormalTexture/ffdd9e47-30b0-4c9e-9539-2f6240c340cc
UpdateTextureCoordsData Instance145
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance149
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Sparks/Sparks_16x4_01/2a05004b-f7c7-43e6-8631-1053ab283763
	NormalTexture Systems/Emitter/DefaultNormalTexture/ffdd9e47-30b0-4c9e-9539-2f6240c340cc
UpdateTextureCoordsData Instance146
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance150
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Sparks/Sparks_16x4_01/2a05004b-f7c7-43e6-8631-1053ab283763
	NormalTexture Systems/Emitter/DefaultNormalTexture/ffdd9e47-30b0-4c9e-9539-2f6240c340cc
UpdateTextureCoordsData Instance147
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance151
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Sparks/Sparks_16x4_01/2a05004b-f7c7-43e6-8631-1053ab283763
	NormalTexture Systems/Emitter/DefaultNormalTexture/ffdd9e47-30b0-4c9e-9539-2f6240c340cc
UpdateTransparencyData Instance148
	$::ProcessorData
		$::DataContainer
		Pre Instance22
		NextProcessor Instance30
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
UpdateTransparencyData Instance149
	$::ProcessorData
		$::DataContainer
		Pre Instance26
		NextProcessor Instance29
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
UpdateTransparencyData Instance150
	$::ProcessorData
		$::DataContainer
		Pre Instance16
		NextProcessor Instance28
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
UpdateTransparencyData Instance151
	$::ProcessorData
		$::DataContainer
		Pre Instance8
		NextProcessor Instance31
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
