Partition 67DC2EE1-E366-4952-80DE-3FCFF58417EA
		member(89) 23039
		member(90) 27903
		member(91) 26879
		member(92) 24575
		member(93) 23039
		member(94) 27903
		member(95) 26879
		member(96) 24575
		member(97) 23039
		member(98) 27903
		member(99) 26879
		member(100) 24319
		member(101) 23039
		member(102) 27903
		member(103) 26623
		member(104) 24063
		member(105) 23039
		member(106) 27647
		member(107) 26623
		member(108) 24063
		member(109) 22783
		member(110) 27647
		member(111) 26623
		member(112) 23807
		member(113) 22783
		member(114) 27647
		member(115) 26623
		member(116) 23551
		member(117) 22783
		member(118) 27647
		member(119) 26367
		member(120) 23551
		member(121) 22783
		member(122) 27391
		member(123) 26111
		member(124) 23295
		member(125) 22783
		member(126) 27391
		member(127) 25855
		member(128) 22783
		member(129) 22271
		member(130) 27135
		member(131) 25343
UpdateClipScaleData Instance83
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance85
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 32767
		member(1) 32767
		member(2) 32767
		member(3) 32767
		member(4) 30975
		member(5) 32639
		member(6) 31487
		member(7) 31231
		member(8) 30975
		member(9) 32639
		member(10) 31487
		member(11) 31231
		member(12) 30975
		member(13) 32639
		member(14) 31487
		member(15) 31231
		member(16) 30975
		member(17) 32639
		member(18) 31487
		member(19) 31231
		member(20) 30463
		member(21) 32383
		member(22) 31103
		member(23) 30975
		member(24) 30207
		member(25) 30463
		member(26) 30975
		member(27) 30591
		member(28) 30079
		member(29) 30335
		member(30) 30847
		member(31) 30335
		member(32) 29951
		member(33) 29823
		member(34) 30463
		member(35) 29823
		member(36) 29823
		member(37) 29567
		member(38) 30335
		member(39) 29695
		member(40) 29823
		member(41) 29055
		member(42) 30207
		member(43) 29567
		member(44) 29695
		member(45) 28671
		member(46) 29823
		member(47) 29567
		member(48) 29567
		member(49) 28159
		member(50) 29695
		member(51) 29439
		member(52) 29567
		member(53) 28031
		member(54) 29567
		member(55) 29311
		member(56) 29439
		member(57) 27775
		member(58) 29311
		member(59) 29311
		member(60) 29439
		member(61) 27519
		member(62) 28799
		member(63) 29183
		member(64) 29311
		member(65) 27263
		member(66) 28799
		member(67) 29055
		member(68) 29311
		member(69) 27007
		member(70) 28671
		member(71) 28927
		member(72) 29183
		member(73) 26879
		member(74) 28543
		member(75) 28799
		member(76) 29183
		member(77) 26751
		member(78) 28543
		member(79) 28799
		member(80) 29183
		member(81) 26623
		member(82) 28415
		member(83) 28415
		member(84) 29183
		member(85) 26623
		member(86) 28415
		member(87) 28415
		member(88) 29055
		member(89) 26495
		member(90) 27519
		member(91) 28287
		member(92) 29055
		member(93) 26367
		member(94) 27391
		member(95) 28287
		member(96) 29055
		member(97) 26367
		member(98) 27391
		member(99) 28287
		member(100) 28927
		member(101) 26367
		member(102) 27135
		member(103) 28287
		member(104) 28927
		member(105) 25599
		member(106) 27007
		member(107) 28287
		member(108) 28927
		member(109) 25599
		member(110) 27007
		member(111) 28159
		member(112) 28927
		member(113) 25471
		member(114) 26751
		member(115) 28159
		member(116) 28927
		member(117) 25471
		member(118) 26495
		member(119) 28159
		member(120) 28543
		member(121) 25343
		member(122) 26111
		member(123) 28031
		member(124) 28287
		member(125) 25215
		member(126) 25727
		member(127) 27775
		member(128) 27903
		member(129) 24959
		member(130) 25471
		member(131) 27647
UpdateLinearVelocityData Instance84
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateLinearVelocityData Instance85
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateLinearVelocityData Instance86
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateOrientationData Instance87
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance82
		EvaluatorInput EfNormTime
UpdateOrientationData Instance88
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance81
		EvaluatorInput EfNormTime
UpdateOrientationData Instance89
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance83
		EvaluatorInput EfNormTime
UpdateRotationData Instance90
	$::ProcessorData
		$::DataContainer
		Pre Instance16
		NextProcessor Instance61
		EvaluatorInput EfNormTime
UpdateRotationData Instance91
	$::ProcessorData
		$::DataContainer
		Pre Instance14
		NextProcessor Instance62
		EvaluatorInput EfNormTime
UpdateRotationData Instance92
	$::ProcessorData
		$::DataContainer
		Pre Instance9
		NextProcessor Instance60
		EvaluatorInput EfNormTime
UpdateSizeData Instance93
	$::ProcessorData
		$::DataContainer
		Pre Instance21
		NextProcessor Instance67
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateSizeData Instance94
	$::ProcessorData
		$::DataContainer
		Pre Instance20
		NextProcessor Instance66
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateSizeData Instance95
	$::ProcessorData
		$::DataContainer
		Pre Instance19
		NextProcessor Instance68
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateTextureCoordsData Instance96
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance100
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Smoke/Gen4/Anim_TurbulentThickSmoke01_8x32_D/25E62AB1-2EB6-4CD0-9875-31D88722387C
	NormalTexture Systems/Emitter/DefaultNormalTexture/FFDD9E47-30B0-4C9E-9539-2F6240C340CC
UpdateTextureCoordsData Instance97
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance88
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Smoke/Smoke_Thin_01_4x2/EF0FF905-9244-4F87-9985-1A69702E500B
	NormalTexture Systems/Emitter/DefaultNormalTexture/FFDD9E47-30B0-4C9E-9539-2F6240C340CC
UpdateTextureCoordsData Instance98
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance99
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Smoke/Smoke_Thin_01_4x2/EF0FF905-9244-4F87-9985-1A69702E500B
	NormalTexture Systems/Emitter/DefaultNormalTexture/FFDD9E47-30B0-4C9E-9539-2F6240C340CC
UpdateTransparencyData Instance99
	$::ProcessorData
		$::DataContainer
		Pre Instance17
		NextProcessor Instance70
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
UpdateTransparencyData Instance100
	$::ProcessorData
		$::DataContainer
		Pre Instance22
		NextProcessor Instance71
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
UpdateTransparencyData Instance101
	$::ProcessorData
		$::DataContainer
		Pre Instance12
		NextProcessor Instance69
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
