Partition 8B0F0F57-0D5E-4361-8FFC-657A12675282
		NextProcessor Instance46
		EvaluatorInput EfOne
	Size 10.0
SpawnSizeData Instance88
	$::ProcessorData
		$::DataContainer
		Pre Instance61
		NextProcessor Instance47
		EvaluatorInput EfOne
	Size 10.0
SpawnSizeData Instance89
	$::ProcessorData
		$::DataContainer
		Pre Instance55
		NextProcessor Instance45
		EvaluatorInput EfOne
	Size 10.0
SpawnSpeedData Instance90
	$::ProcessorData
		$::DataContainer
		Pre Instance56
		NextProcessor Instance115
		EvaluatorInput EfOne
	Speed 4.0
SpawnSpeedData Instance91
	$::ProcessorData
		$::DataContainer
		Pre Instance64
		NextProcessor Instance114
		EvaluatorInput EfOne
	Speed 4.0
SpawnSpeedData Instance92
	$::ProcessorData
		$::DataContainer
		Pre Instance57
		NextProcessor Instance116
		EvaluatorInput EfOne
	Speed 4.0
TurbulanceData Instance93
	$::ProcessorData
		$::DataContainer
		Pre Instance18
		NextProcessor Instance126
		EvaluatorInput EfNormTime
	Intensity 0.10000000149011612
	NoiseType TurbulenceNoiseType_Random
	PeriodSpace 50.0
	TurbulenceForceAsInstantVelocity 0.0
	Octaves 1
	OctavePersistence 0.5
	PerParticleRandomness 0.0
TurbulanceData Instance94
	$::ProcessorData
		$::DataContainer
		Pre Instance25
		NextProcessor Instance127
		EvaluatorInput EfNormTime
	Intensity 0.10000000149011612
	NoiseType TurbulenceNoiseType_Random
	PeriodSpace 50.0
	TurbulenceForceAsInstantVelocity 0.0
	Octaves 1
	OctavePersistence 0.5
	PerParticleRandomness 0.0
TurbulanceData Instance95
	$::ProcessorData
		$::DataContainer
		Pre Instance22
		NextProcessor Instance128
		EvaluatorInput EfNormTime
	Intensity 0.10000000149011612
	NoiseType TurbulenceNoiseType_Random
	PeriodSpace 50.0
	TurbulenceForceAsInstantVelocity 0.0
	Octaves 1
	OctavePersistence 0.5
	PerParticleRandomness 0.0
UpdateAgeData Instance96
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance79
		EvaluatorInput EfOne
	Lifetime 15.0
	RandomLifetimeScale 0.24699999392032623
	MaxFactor 1.0
UpdateAgeData Instance97
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance80
		EvaluatorInput EfOne
	Lifetime 15.0
	RandomLifetimeScale 0.24699999392032623
	MaxFactor 1.0
UpdateAgeData Instance98
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance78
		EvaluatorInput EfOne
	Lifetime 15.0
	RandomLifetimeScale 0.24699999392032623
	MaxFactor 1.0
UpdateAlphaLevelMinData Instance99
	$::ProcessorData
		$::DataContainer
		Pre Instance39
		NextProcessor Instance103
		EvaluatorInput EfNormTime
	MinLevel 1.0
UpdateAlphaLevelMinData Instance100
	$::ProcessorData
		$::DataContainer
		Pre Instance40
		NextProcessor Instance104
		EvaluatorInput EfNormTime
	MinLevel 1.0
UpdateAlphaLevelMinData Instance101
	$::ProcessorData
		$::DataContainer
		Pre Instance41
		NextProcessor Instance102
		EvaluatorInput EfNormTime
	MinLevel 1.0
UpdateAlphaLevelScaleData Instance102
	$::ProcessorData
		$::DataContainer
		Pre Instance31
		NextProcessor Instance43
		EvaluatorInput EfNormTime
	Exponent 5.0
UpdateAlphaLevelScaleData Instance103
	$::ProcessorData
		$::DataContainer
		Pre Instance23
		NextProcessor Instance44
		EvaluatorInput EfNormTime
	Exponent 5.0
UpdateAlphaLevelScaleData Instance104
	$::ProcessorData
		$::DataContainer
		Pre Instance21
		NextProcessor Instance42
		EvaluatorInput EfNormTime
	Exponent 5.0
UpdateClipScaleData Instance105
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance110
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 21119
		member(1) 1663
		member(2) 25727
		member(3) 17151
		member(4) 22143
		member(5) 11391
		member(6) 26495
		member(7) 22015
		member(8) 23295
		member(9) 14335
		member(10) 26879
		member(11) 23167
		member(12) 23551
		member(13) 14975
		member(14) 26879
		member(15) 23295
		member(16) 23679
		member(17) 15359
		member(18) 26879
		member(19) 23551
		member(20) 23807
		member(21) 15615
		member(22) 26879
		member(23) 23679
		member(24) 23935
		member(25) 16255
		member(26) 27007
		member(27) 23935
		member(28) 24319
		member(29) 16767
		member(30) 27007
		member(31) 24063
		member(32) 24447
		member(33) 17023
		member(34) 27135
		member(35) 24063
		member(36) 24575
		member(37) 17407
		member(38) 27135
		member(39) 24191
		member(40) 24703
		member(41) 17791
		member(42) 27135
		member(43) 24319
		member(44) 24831
		member(45) 18047
		member(46) 27135
		member(47) 24319
		member(48) 24831
		member(49) 18175
		member(50) 27263
		member(51) 24447
		member(52) 24831
		member(53) 18175
		member(54) 27263
		member(55) 24447
		member(56) 24831
		member(57) 18175
		member(58) 27263
		member(59) 24447
		member(60) 24831
		member(61) 18047
		member(62) 27135
		member(63) 24319
		member(64) 24703
		member(65) 17791
		member(66) 27135
		member(67) 24319
		member(68) 24703
		member(69) 17535
		member(70) 27135
		member(71) 24191
		member(72) 24575
		member(73) 17151
		member(74) 27135
		member(75) 24191
		member(76) 24447
		member(77) 17023
		member(78) 27135
		member(79) 24063
		member(80) 24319
		member(81) 16895
		member(82) 27007
		member(83) 24063
		member(84) 24319
		member(85) 16767
		member(86) 27007
		member(87) 24063
		member(88) 24191
		member(89) 16511
		member(90) 27007
		member(91) 23935
		member(92) 23935
		member(93) 16255
		member(94) 27007
		member(95) 23935
		member(96) 23807
		member(97) 15743
		member(98) 27007
		member(99) 23807
		member(100) 23807
		member(101) 15487
		member(102) 26879
		member(103) 23551
		member(104) 23551
		member(105) 15103
		member(106) 26879
		member(107) 23423
		member(108) 23167
		member(109) 14079
		member(110) 26751
		member(111) 23167
		member(112) 22399
		member(113) 12159
		member(114) 26623
		member(115) 22271
		member(116) 0
		member(117) 0
		member(118) 0
		member(119) 0
		member(120) 0
		member(121) 0
		member(122) 0
		member(123) 0
		member(124) 0
		member(125) 0
		member(126) 0
		member(127) 0
		member(128) 0
		member(129) 0
		member(130) 0
		member(131) 0
UpdateClipScaleData Instance106
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance109
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 13567
		member(1) 13311
		member(2) 22527
		member(3) 22783
		member(4) 16895
		member(5) 15359
		member(6) 25855
		member(7) 26111
		member(8) 18175
		member(9) 18431
		member(10) 29695
		member(11) 27391
		member(12) 18431
		member(13) 18943
		member(14) 30207
		member(15) 28159
		member(16) 18431
		member(17) 19199
		member(18) 30207
		member(19) 28415
		member(20) 18943
		member(21) 19455
		member(22) 30463
		member(23) 28927
		member(24) 18943
		member(25) 19711
		member(26) 30463
		member(27) 28927
		member(28) 19199
		member(29) 19711
		member(30) 30719
		member(31) 29183
		member(32) 19199
		member(33) 19967
		member(34) 30719
		member(35) 29183
		member(36) 19455
		member(37) 20223
		member(38) 30719
		member(39) 29183
		member(40) 19455
		member(41) 20223
		member(42) 30719
		member(43) 29439
		member(44) 19455
		member(45) 20479
		member(46) 30719
		member(47) 29951
		member(48) 19711
		member(49) 20479
		member(50) 30975
		member(51) 29951
		member(52) 19711
		member(53) 20479
		member(54) 30975
		member(55) 29951
		member(56) 19711
		member(57) 20479
		member(58) 30975
		member(59) 29951
		member(60) 19455
		member(61) 20479
		member(62) 30719
		member(63) 29951
		member(64) 19455
		member(65) 20223
		member(66) 30719
		member(67) 29439
		member(68) 19455
		member(69) 20223
		member(70) 30719
		member(71) 29183
		member(72) 19199
		member(73) 20223
		member(74) 30719
		member(75) 29183
		member(76) 19199
		member(77) 19967
		member(78) 30719
		member(79) 29183
		member(80) 19199
		member(81) 19967
		member(82) 30719
		member(83) 29183
		member(84) 19199
		member(85) 19711
		member(86) 30719
		member(87) 29183
		member(88) 19199
		member(89) 19711
		member(90) 30463
		member(91) 29183
		member(92) 18943
		member(93) 19711
		member(94) 30463
		member(95) 28927
		member(96) 18943
		member(97) 19455
		member(98) 30463
		member(99) 28927
		member(100) 18687
		member(101) 19455
		member(102) 30463
		member(103) 28671
		member(104) 18431
		member(105) 19199
		member(106) 30207
		member(107) 28415
		member(108) 18175
		member(109) 17919
		member(110) 27903
		member(111) 27391
		member(112) 17407
		member(113) 15615
		member(114) 26623
		member(115) 26367
		member(116) 0
		member(117) 0
		member(118) 0
		member(119) 0
		member(120) 0
		member(121) 0
		member(122) 0
		member(123) 0
		member(124) 0
		member(125) 0
		member(126) 0
		member(127) 0
		member(128) 0
		member(129) 0
		member(130) 0
		member(131) 0
UpdateClipScaleData Instance107
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance108
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 13567
		member(1) 13311
		member(2) 22527
		member(3) 22783
		member(4) 16895
		member(5) 15359
		member(6) 25855
		member(7) 26111
		member(8) 18175
		member(9) 18431
		member(10) 29695
		member(11) 27391
		member(12) 18431
		member(13) 18943
		member(14) 30207
		member(15) 28159
		member(16) 18431
		member(17) 19199
		member(18) 30463
		member(19) 28415
		member(20) 18943
		member(21) 19455
		member(22) 30463
		member(23) 28927
		member(24) 18943
		member(25) 19711
		member(26) 30463
		member(27) 28927
		member(28) 19199
		member(29) 19711
		member(30) 30719
		member(31) 29183
		member(32) 19199
		member(33) 19967
		member(34) 30719
		member(35) 29183
		member(36) 19455
		member(37) 20223
		member(38) 30719
		member(39) 29183
		member(40) 19455
		member(41) 20223
		member(42) 30719
		member(43) 29439
		member(44) 19455
		member(45) 20479
		member(46) 30719
		member(47) 29951
		member(48) 19711
		member(49) 20479
		member(50) 30975
		member(51) 29951
		member(52) 19711
		member(53) 20479
		member(54) 30975
		member(55) 29951
		member(56) 19711
		member(57) 20479
		member(58) 30975
		member(59) 29951
		member(60) 19455
		member(61) 20479
		member(62) 30719
		member(63) 29951
		member(64) 19455
		member(65) 20223
		member(66) 30719
		member(67) 29439
		member(68) 19455
		member(69) 20223
		member(70) 30719
		member(71) 29183
		member(72) 19199
		member(73) 20223
		member(74) 30719
		member(75) 29183
		member(76) 19199
		member(77) 19967
		member(78) 30719
		member(79) 29183
		member(80) 19199
		member(81) 19967
		member(82) 30719
		member(83) 29183
		member(84) 19199
		member(85) 19711
		member(86) 30719
		member(87) 29183
		member(88) 19199
		member(89) 19711
		member(90) 30463
		member(91) 29183
		member(92) 18943
		member(93) 19711
		member(94) 30463
		member(95) 28927
		member(96) 18943
		member(97) 19455
		member(98) 30463
		member(99) 28927
		member(100) 18687
		member(101) 19455
		member(102) 30463
		member(103) 28671
		member(104) 18431
		member(105) 19199
		member(106) 30207
		member(107) 28415
		member(108) 18175
		member(109) 17919
		member(110) 28159
		member(111) 27391
		member(112) 17407
		member(113) 15615
		member(114) 26623
		member(115) 26367
		member(116) 0
		member(117) 0
		member(118) 0
		member(119) 0
		member(120) 0
		member(121) 0
		member(122) 0
		member(123) 0
		member(124) 0
		member(125) 0
		member(126) 0
		member(127) 0
		member(128) 0
		member(129) 0
		member(130) 0
		member(131) 0
UpdateLinearVelocityData Instance108
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateLinearVelocityData Instance109
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateLinearVelocityData Instance110
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor *nullGuid*
		EvaluatorInput EfNormTime
UpdateOrientationData Instance111
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance106
		EvaluatorInput EfNormTime
UpdateOrientationData Instance112
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance107
		EvaluatorInput EfNormTime
UpdateOrientationData Instance113
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance105
		EvaluatorInput EfNormTime
UpdateRotationData Instance114
	$::ProcessorData
		$::DataContainer
		Pre Instance20
		NextProcessor Instance82
		EvaluatorInput EfNormSpeed
UpdateRotationData Instance115
	$::ProcessorData
		$::DataContainer
		Pre Instance17
		NextProcessor Instance81
		EvaluatorInput EfNormSpeed
UpdateRotationData Instance116
	$::ProcessorData
		$::DataContainer
		Pre Instance11
		NextProcessor Instance83
		EvaluatorInput EfNormSpeed
UpdateSizeData Instance117
	$::ProcessorData
		$::DataContainer
		Pre Instance19
		NextProcessor Instance89
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateSizeData Instance118
	$::ProcessorData
		$::DataContainer
		Pre Instance30
		NextProcessor Instance87
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateSizeData Instance119
	$::ProcessorData
		$::DataContainer
		Pre Instance9
		NextProcessor Instance88
		EvaluatorInput EfNormTime
	Pivot::Vec2
		x 0.0
		y 0.0
UpdateTextureCoordsData Instance120
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance124
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Smoke/Gen4/SmokeThick_01_5x5_D/B628D39B-4BAF-4D3A-8B92-D1C8648F8506
	NormalTexture Systems/Emitter/DefaultNormalTexture/FFDD9E47-30B0-4C9E-9539-2F6240C340CC
UpdateTextureCoordsData Instance121
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance123
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Smoke/Smoke_Thick_01_4x2/60FB40A3-65F6-4C97-87AA-0B8373ED44F1
	NormalTexture Systems/Emitter/DefaultNormalTexture/FFDD9E47-30B0-4C9E-9539-2F6240C340CC
UpdateTextureCoordsData Instance122
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance125
		EvaluatorInput EfNormTime
	BaseTexture FX/Textures/Smoke/Gen4/SmokeThick_01_5x5_D/B628D39B-4BAF-4D3A-8B92-D1C8648F8506
	NormalTexture Systems/Emitter/DefaultNormalTexture/FFDD9E47-30B0-4C9E-9539-2F6240C340CC
UpdateTransparencyData Instance123
	$::ProcessorData
		$::DataContainer
		Pre Instance10
		NextProcessor Instance95
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
UpdateTransparencyData Instance124
	$::ProcessorData
		$::DataContainer
		Pre Instance27
		NextProcessor Instance94
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
UpdateTransparencyData Instance125
	$::ProcessorData
		$::DataContainer
		Pre Instance26
		NextProcessor Instance93
		EvaluatorInput EfNormTime
	CullThreshold 0.20000000298023224
WorldForcesData Instance126
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance5
		EvaluatorInput EfNormTime
	ForcesMultiplier 0.5
	PerParticleRandomness 0.1589999943971634
WorldForcesData Instance127
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance3
		EvaluatorInput EfNormTime
	ForcesMultiplier 0.5
	PerParticleRandomness 0.1589999943971634
WorldForcesData Instance128
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance4
		EvaluatorInput EfNormTime
	ForcesMultiplier 0.5
	PerParticleRandomness 0.1589999943971634
WorldWindData Instance129
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance100
		EvaluatorInput EfNormTime
	WindMultiplier 0.4000000059604645
	PerParticleRandomness 0.37400001287460327
WorldWindData Instance130
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance99
		EvaluatorInput EfNormTime
	WindMultiplier 0.4000000059604645
	PerParticleRandomness 0.37400001287460327
WorldWindData Instance131
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance101
		EvaluatorInput EfNormTime
	WindMultiplier 0.4000000059604645
	PerParticleRandomness 0.37400001287460327
