Partition E7C2024B-CF04-4E47-919F-1E18469BA009
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	SplineCurve::SplineCurve
		XValues0::Vec4
			x 0.0
			y 0.1714126020669937
			z 0.4444584846496582
			w 0.6574705243110657
		XValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		XValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues0::Vec4
			x 0.6617588400840759
			y 0.9875646829605103
			z 0.7885992527008057
			w 0.8756465911865234
		YValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues3::Vec4
			x 0.5
			y 1.0
			z 0.0
			w 0.865129292011261
		GValues0::Vec4
			x 0.18551982939243317
			y 0.03340066969394684
			z -0.06712823361158371
			w 0.09983231872320175
		GValues1::Vec4
			x 0.020968254655599594
			y -0.08604719489812851
			z 0.062083665281534195
			w -0.010517299175262451
		GValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues3::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues4::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues5::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		SplineType SplineType_5ControlPoints
SplineData Instance58
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	SplineCurve::SplineCurve
		XValues0::Vec4
			x 0.0
			y 0.11955434083938599
			z 0.5428134799003601
			w 0.6857296824455261
		XValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		XValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues0::Vec4
			x 0.6565858125686646
			y 2.517906904220581
			z 0.3680860698223114
			w 1.5419816970825195
		YValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues3::Vec4
			x 0.0
			y 3.0
			z 0.0
			w 0.6615598797798157
		GValues0::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues3::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues4::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues5::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		SplineType SplineType_5ControlPoints
SplineData Instance59
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	SplineCurve::SplineCurve
		XValues0::Vec4
			x 0.0
			y 0.11955434083938599
			z 0.5428134799003601
			w 0.6857296824455261
		XValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		XValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues0::Vec4
			x 0.6565858125686646
			y 2.517906904220581
			z 0.3680860698223114
			w 1.5419816970825195
		YValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		YValues3::Vec4
			x 0.0
			y 3.0
			z 0.0
			w 0.6615598797798157
		GValues0::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues1::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues2::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues3::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues4::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		GValues5::Vec4
			x 0.0
			y 0.0
			z 0.0
			w 0.0
		SplineType SplineType_5ControlPoints
SuperSphereEvaluatorData Instance60
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	InnerRadius 0.0
	Scale::Vec3
		x 3.0
		y 0.0
		z 2.0
	Pivot::Vec3
		x 0.0
		y 0.0
		z 0.0
	OuterRadius 0.25
	StartZenithAngle 0.0
	EndZenithAngle 90.0
	InnerRadiusBound 0.0
	StartZenithAngleBound 1.0
	EndZenithAngleBound 0.5
	StartAzimuthAngle 180.0
	EndAzimuthAngle -180.0
SuperSphereEvaluatorData Instance61
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	InnerRadius 0.0
	Scale::Vec3
		x 3.0
		y 0.0
		z 2.0
	Pivot::Vec3
		x 0.0
		y 0.0
		z 0.0
	OuterRadius 0.25
	StartZenithAngle 0.0
	EndZenithAngle 90.0
	InnerRadiusBound 0.0
	StartZenithAngleBound 1.0
	EndZenithAngleBound 0.5
	StartAzimuthAngle 180.0
	EndAzimuthAngle -180.0
SuperSphereEvaluatorData Instance62
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	InnerRadius 0.0
	Scale::Vec3
		x 3.0
		y 0.0
		z 2.0
	Pivot::Vec3
		x 0.0
		y 0.0
		z 0.0
	OuterRadius 0.25
	StartZenithAngle 0.0
	EndZenithAngle 90.0
	InnerRadiusBound 0.0
	StartZenithAngleBound 1.0
	EndZenithAngleBound 0.5
	StartAzimuthAngle 180.0
	EndAzimuthAngle -180.0
SuperSphereEvaluatorData Instance63
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	InnerRadius 0.0
	Scale::Vec3
		x 3.0
		y 0.0
		z 2.0
	Pivot::Vec3
		x 0.0
		y 0.0
		z 0.0
	OuterRadius 0.25
	StartZenithAngle 0.0
	EndZenithAngle 90.0
	InnerRadiusBound 0.0
	StartZenithAngleBound 1.0
	EndZenithAngleBound 0.5
	StartAzimuthAngle 180.0
	EndAzimuthAngle -180.0
UpdateColorData Instance64
	$::ProcessorData
		$::DataContainer
		Pre Instance11
		NextProcessor Instance96
		EvaluatorInput EfNormTime
	Color::Vec3
		x 240.0
		y 27.0
		z 8.0
UpdateColorData Instance65
	$::ProcessorData
		$::DataContainer
		Pre Instance9
		NextProcessor Instance98
		EvaluatorInput EfNormTime
	Color::Vec3
		x 240.0
		y 27.0
		z 8.0
UpdateColorData Instance66
	$::ProcessorData
		$::DataContainer
		Pre Instance10
		NextProcessor Instance97
		EvaluatorInput EfNormTime
	Color::Vec3
		x 240.0
		y 27.0
		z 8.0
UpdateColorData Instance67
	$::ProcessorData
		$::DataContainer
		Pre Instance8
		NextProcessor Instance99
		EvaluatorInput EfNormTime
	Color::Vec3
		x 240.0
		y 27.0
		z 8.0
AirResistanceData Instance68
	$::ProcessorData
		$::DataContainer
		Pre Instance20
		NextProcessor Instance75
		EvaluatorInput EfEmitterNormWindSpeed
	DragFactor 5.0
AirResistanceData Instance69
	$::ProcessorData
		$::DataContainer
		Pre Instance38
		NextProcessor Instance73
		EvaluatorInput EfEmitterNormWindSpeed
	DragFactor 5.0
AirResistanceData Instance70
	$::ProcessorData
		$::DataContainer
		Pre Instance35
		NextProcessor Instance74
		EvaluatorInput EfEmitterNormWindSpeed
	DragFactor 5.0
AirResistanceData Instance71
	$::ProcessorData
		$::DataContainer
		Pre Instance40
		NextProcessor Instance72
		EvaluatorInput EfEmitterNormWindSpeed
	DragFactor 5.0
GravityData Instance72
	$::ProcessorData
		$::DataContainer
		Pre Instance44
		NextProcessor Instance4
		EvaluatorInput EfEmitterNormWindSpeed
	Gravity -20.0
	PerParticleRandomness 0.5
GravityData Instance73
	$::ProcessorData
		$::DataContainer
		Pre Instance31
		NextProcessor Instance6
		EvaluatorInput EfEmitterNormWindSpeed
	Gravity -20.0
	PerParticleRandomness 0.5
GravityData Instance74
	$::ProcessorData
		$::DataContainer
		Pre Instance27
		NextProcessor Instance7
		EvaluatorInput EfEmitterNormWindSpeed
	Gravity -20.0
	PerParticleRandomness 0.5
GravityData Instance75
	$::ProcessorData
		$::DataContainer
		Pre Instance13
		NextProcessor Instance5
		EvaluatorInput EfEmitterNormWindSpeed
	Gravity -20.0
	PerParticleRandomness 0.5
RandomEvaluatorData Instance76
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min 0.25
RandomEvaluatorData Instance77
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 4.0
	Min 0.0
RandomEvaluatorData Instance78
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance79
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min 0.25
RandomEvaluatorData Instance80
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 4.0
	Min 0.0
RandomEvaluatorData Instance81
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min 0.25
RandomEvaluatorData Instance82
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance83
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance84
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance85
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 4.0
	Min 0.0
RandomEvaluatorData Instance86
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min 0.25
RandomEvaluatorData Instance87
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance88
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 4.0
	Min 0.0
RandomEvaluatorData Instance89
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance90
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
RandomEvaluatorData Instance91
	$::EvaluatorData
		$::DataContainer
		Parameter *nullGuid*
	Max 1.0
	Min -1.0
SpawnAnimationData Instance92
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance48
		EvaluatorInput EfOne
	AnimationSpeed 0.0
	BasedOnLifetime False
SpawnAnimationData Instance93
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance51
		EvaluatorInput EfOne
	AnimationSpeed 0.0
	BasedOnLifetime False
SpawnAnimationData Instance94
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance49
		EvaluatorInput EfOne
	AnimationSpeed 0.0
	BasedOnLifetime False
SpawnAnimationData Instance95
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance50
		EvaluatorInput EfOne
	AnimationSpeed 0.0
	BasedOnLifetime False
SpawnAnimationFrameData Instance96
	$::ProcessorData
		$::DataContainer
		Pre Instance77
		NextProcessor Instance95
		EvaluatorInput EfOne
	AnimationFrame 1
SpawnAnimationFrameData Instance97
	$::ProcessorData
		$::DataContainer
		Pre Instance80
		NextProcessor Instance94
		EvaluatorInput EfOne
	AnimationFrame 1
SpawnAnimationFrameData Instance98
	$::ProcessorData
		$::DataContainer
		Pre Instance85
		NextProcessor Instance92
		EvaluatorInput EfOne
	AnimationFrame 1
SpawnAnimationFrameData Instance99
	$::ProcessorData
		$::DataContainer
		Pre Instance88
		NextProcessor Instance93
		EvaluatorInput EfOne
	AnimationFrame 1
SpawnDirectionData Instance100
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance107
		EvaluatorInput EfOne
	DirectionFromEmitterOrigin 0.0
	InheritSpeedAmount 1.0
	InheritSpeedSmoothingFactor 0.0
	InheritSpeedRandomness 0.0
	InheritSpeedAndDirectionFromEmitter False
SpawnDirectionData Instance101
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance104
		EvaluatorInput EfOne
	DirectionFromEmitterOrigin 0.0
	InheritSpeedAmount 1.0
	InheritSpeedSmoothingFactor 0.0
	InheritSpeedRandomness 0.0
	InheritSpeedAndDirectionFromEmitter False
SpawnDirectionData Instance102
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance105
		EvaluatorInput EfOne
	DirectionFromEmitterOrigin 0.0
	InheritSpeedAmount 1.0
	InheritSpeedSmoothingFactor 0.0
	InheritSpeedRandomness 0.0
	InheritSpeedAndDirectionFromEmitter False
SpawnDirectionData Instance103
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance106
		EvaluatorInput EfOne
	DirectionFromEmitterOrigin 0.0
	InheritSpeedAmount 1.0
	InheritSpeedSmoothingFactor 0.0
	InheritSpeedRandomness 0.0
	InheritSpeedAndDirectionFromEmitter False
SpawnPositionData Instance104
	$::ProcessorData
		$::DataContainer
		Pre Instance62
		NextProcessor Instance126
		EvaluatorInput EfOne
SpawnPositionData Instance105
	$::ProcessorData
		$::DataContainer
		Pre Instance60
		NextProcessor Instance127
		EvaluatorInput EfOne
SpawnPositionData Instance106
	$::ProcessorData
		$::DataContainer
		Pre Instance61
		NextProcessor Instance124
		EvaluatorInput EfOne
SpawnPositionData Instance107
	$::ProcessorData
		$::DataContainer
		Pre Instance63
		NextProcessor Instance125
		EvaluatorInput EfOne
SpawnRateData Instance108
	$::ProcessorData
		$::DataContainer
		Pre Instance54
		NextProcessor Instance71
		EvaluatorInput EfEmitterNormTime
	SpawnRate 30.0
	DistributeOverTime True
	DistributeOverDistance False
SpawnRateData Instance109
	$::ProcessorData
		$::DataContainer
		Pre Instance52
		NextProcessor Instance69
		EvaluatorInput EfEmitterNormTime
	SpawnRate 80.0
	DistributeOverTime True
	DistributeOverDistance False
SpawnRateData Instance110
	$::ProcessorData
		$::DataContainer
		Pre Instance59
		NextProcessor Instance68
		EvaluatorInput EfEmitterNormTime
	SpawnRate 40.0
	DistributeOverTime True
	DistributeOverDistance False
SpawnRateData Instance111
	$::ProcessorData
		$::DataContainer
		Pre Instance58
		NextProcessor Instance70
		EvaluatorInput EfEmitterNormTime
	SpawnRate 20.0
	DistributeOverTime True
	DistributeOverDistance False
SpawnRotationData Instance112
	$::ProcessorData
		$::DataContainer
		Pre Instance87
		NextProcessor Instance117
		EvaluatorInput EfOne
	Rotation 0.0
SpawnRotationData Instance113
	$::ProcessorData
		$::DataContainer
		Pre Instance84
		NextProcessor Instance119
		EvaluatorInput EfOne
	Rotation 0.0
SpawnRotationData Instance114
	$::ProcessorData
		$::DataContainer
		Pre Instance90
		NextProcessor Instance116
		EvaluatorInput EfOne
	Rotation 0.0
SpawnRotationData Instance115
	$::ProcessorData
		$::DataContainer
		Pre Instance89
		NextProcessor Instance118
		EvaluatorInput EfOne
	Rotation 0.0
SpawnRotationSpeedData Instance116
	$::ProcessorData
		$::DataContainer
		Pre Instance83
		NextProcessor Instance157
		EvaluatorInput EfOne
	RotationSpeed 0.25
SpawnRotationSpeedData Instance117
	$::ProcessorData
		$::DataContainer
		Pre Instance82
		NextProcessor Instance158
		EvaluatorInput EfOne
	RotationSpeed 0.25
SpawnRotationSpeedData Instance118
	$::ProcessorData
		$::DataContainer
		Pre Instance91
		NextProcessor Instance159
		EvaluatorInput EfOne
	RotationSpeed 0.25
SpawnRotationSpeedData Instance119
	$::ProcessorData
		$::DataContainer
		Pre Instance78
		NextProcessor Instance156
		EvaluatorInput EfOne
	RotationSpeed 0.25
SpawnSizeData Instance120
	$::ProcessorData
		$::DataContainer
		Pre Instance81
		NextProcessor Instance103
		EvaluatorInput EfOne
	Size 0.4000000059604645
SpawnSizeData Instance121
	$::ProcessorData
		$::DataContainer
		Pre Instance79
		NextProcessor Instance100
		EvaluatorInput EfOne
	Size 0.4000000059604645
SpawnSizeData Instance122
	$::ProcessorData
		$::DataContainer
		Pre Instance86
		NextProcessor Instance101
		EvaluatorInput EfOne
	Size 0.4000000059604645
SpawnSizeData Instance123
	$::ProcessorData
		$::DataContainer
		Pre Instance76
		NextProcessor Instance102
		EvaluatorInput EfOne
	Size 0.4000000059604645
SpawnSpeedData Instance124
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance150
		EvaluatorInput EfOne
	Speed 2.0
SpawnSpeedData Instance125
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance149
		EvaluatorInput EfOne
	Speed 2.0
SpawnSpeedData Instance126
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance151
		EvaluatorInput EfOne
	Speed 2.0
SpawnSpeedData Instance127
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance148
		EvaluatorInput EfOne
	Speed 2.0
UpdateAgeData Instance128
	$::ProcessorData
		$::DataContainer
		Pre Instance55
		NextProcessor Instance108
		EvaluatorInput EfEmitterNormTime
	Lifetime 0.6000000238418579
	RandomLifetimeScale 0.20000000298023224
	MaxFactor 1.0
UpdateAgeData Instance129
	$::ProcessorData
		$::DataContainer
		Pre Instance56
		NextProcessor Instance110
		EvaluatorInput EfEmitterNormTime
	Lifetime 0.6000000238418579
	RandomLifetimeScale 0.20000000298023224
	MaxFactor 1.0
UpdateAgeData Instance130
	$::ProcessorData
		$::DataContainer
		Pre Instance53
		NextProcessor Instance111
		EvaluatorInput EfEmitterNormTime
	Lifetime 0.6000000238418579
	RandomLifetimeScale 0.20000000298023224
	MaxFactor 1.0
UpdateAgeData Instance131
	$::ProcessorData
		$::DataContainer
		Pre Instance57
		NextProcessor Instance109
		EvaluatorInput EfEmitterNormTime
	Lifetime 0.6000000238418579
	RandomLifetimeScale 0.20000000298023224
	MaxFactor 1.0
UpdateAlphaLevelMaxData Instance132
	$::ProcessorData
		$::DataContainer
		Pre Instance26
		NextProcessor Instance137
		EvaluatorInput EfNormTime
	MaxLevel 1.0
UpdateAlphaLevelMaxData Instance133
	$::ProcessorData
		$::DataContainer
		Pre Instance45
		NextProcessor Instance136
		EvaluatorInput EfNormTime
	MaxLevel 1.0
UpdateAlphaLevelMaxData Instance134
	$::ProcessorData
		$::DataContainer
		Pre Instance42
		NextProcessor Instance139
		EvaluatorInput EfNormTime
	MaxLevel 1.0
UpdateAlphaLevelMaxData Instance135
	$::ProcessorData
		$::DataContainer
		Pre Instance39
		NextProcessor Instance138
		EvaluatorInput EfNormTime
	MaxLevel 1.0
UpdateAlphaLevelMinData Instance136
	$::ProcessorData
		$::DataContainer
		Pre Instance15
		NextProcessor Instance67
		EvaluatorInput EfNormTime
	MinLevel 1.0
UpdateAlphaLevelMinData Instance137
	$::ProcessorData
		$::DataContainer
		Pre Instance23
		NextProcessor Instance65
		EvaluatorInput EfNormTime
	MinLevel 1.0
UpdateAlphaLevelMinData Instance138
	$::ProcessorData
		$::DataContainer
		Pre Instance46
		NextProcessor Instance64
		EvaluatorInput EfNormTime
	MinLevel 1.0
UpdateAlphaLevelMinData Instance139
	$::ProcessorData
		$::DataContainer
		Pre Instance21
		NextProcessor Instance66
		EvaluatorInput EfNormTime
	MinLevel 1.0
UpdateClipScaleData Instance140
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance145
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 32767
		member(1) 32767
		member(2) 32767
		member(3) 32767
		member(4) 0
		member(5) 0
		member(6) 0
		member(7) 0
		member(8) 21503
		member(9) 21759
		member(10) 23039
		member(11) 20223
		member(12) 22271
		member(13) 25343
		member(14) 24063
		member(15) 20223
		member(16) 25343
		member(17) 25599
		member(18) 25087
		member(19) 25343
		member(20) 25599
		member(21) 27135
		member(22) 25343
		member(23) 26111
		member(24) 26111
		member(25) 27391
		member(26) 26111
		member(27) 26623
		member(28) 27135
		member(29) 27647
		member(30) 26367
		member(31) 27391
		member(32) 27647
		member(33) 27647
		member(34) 26879
		member(35) 27391
		member(36) 28159
		member(37) 28671
		member(38) 27391
		member(39) 28671
		member(40) 29183
		member(41) 28927
		member(42) 28159
		member(43) 29183
		member(44) 29439
		member(45) 29183
		member(46) 28671
		member(47) 29439
		member(48) 30207
		member(49) 29439
		member(50) 30463
		member(51) 29439
		member(52) 30719
		member(53) 29695
		member(54) 30719
		member(55) 29951
		member(56) 31231
		member(57) 29951
		member(58) 30975
		member(59) 30463
		member(60) 31231
		member(61) 29951
		member(62) 30975
		member(63) 30463
		member(64) 31231
		member(65) 29951
		member(66) 30975
		member(67) 30463
		member(68) 31231
		member(69) 29951
		member(70) 30975
		member(71) 30463
		member(72) 30719
		member(73) 29951
		member(74) 30975
		member(75) 30463
		member(76) 30719
		member(77) 29695
		member(78) 30719
		member(79) 29951
		member(80) 29695
		member(81) 29183
		member(82) 30207
		member(83) 29439
		member(84) 29439
		member(85) 28927
		member(86) 28671
		member(87) 29183
		member(88) 29183
		member(89) 28671
		member(90) 27903
		member(91) 28927
		member(92) 27903
		member(93) 28415
		member(94) 27135
		member(95) 28159
		member(96) 27391
		member(97) 27647
		member(98) 26367
		member(99) 27391
		member(100) 26623
		member(101) 27391
		member(102) 26111
		member(103) 27135
		member(104) 25855
		member(105) 27391
		member(106) 25599
		member(107) 26623
		member(108) 25343
		member(109) 27135
		member(110) 25343
		member(111) 25855
		member(112) 25087
		member(113) 25343
		member(114) 25087
		member(115) 22015
		member(116) 22015
		member(117) 23039
		member(118) 23807
		member(119) 20223
		member(120) 21247
		member(121) 13311
		member(122) 22783
		member(123) 20223
		member(124) 20735
		member(125) 11007
		member(126) 15103
		member(127) 20223
		member(128) 17151
		member(129) 0
		member(130) 5631
		member(131) 7935
UpdateClipScaleData Instance141
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance147
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 32767
		member(1) 32767
		member(2) 32767
		member(3) 32767
		member(4) 0
		member(5) 0
		member(6) 0
		member(7) 0
		member(8) 21503
		member(9) 21759
		member(10) 23039
		member(11) 20223
		member(12) 22271
		member(13) 25343
		member(14) 24063
		member(15) 20223
		member(16) 25343
		member(17) 25599
		member(18) 25087
		member(19) 25343
		member(20) 25599
		member(21) 27135
		member(22) 25343
		member(23) 26111
		member(24) 26111
		member(25) 27391
		member(26) 26111
		member(27) 26623
		member(28) 27135
		member(29) 27647
		member(30) 26367
		member(31) 27391
		member(32) 27647
		member(33) 27647
		member(34) 26879
		member(35) 27391
		member(36) 28159
		member(37) 28671
		member(38) 27391
		member(39) 28671
		member(40) 29183
		member(41) 28927
		member(42) 28159
		member(43) 29183
		member(44) 29439
		member(45) 29183
		member(46) 28671
		member(47) 29439
		member(48) 30207
		member(49) 29439
		member(50) 30463
		member(51) 29439
		member(52) 30719
		member(53) 29695
		member(54) 30719
		member(55) 29951
		member(56) 31231
		member(57) 29951
		member(58) 30975
		member(59) 30463
		member(60) 31231
		member(61) 29951
		member(62) 30975
		member(63) 30463
		member(64) 31231
		member(65) 29951
		member(66) 30975
		member(67) 30463
		member(68) 31231
		member(69) 29951
		member(70) 30975
		member(71) 30463
		member(72) 30719
		member(73) 29951
		member(74) 30975
		member(75) 30463
		member(76) 30719
		member(77) 29695
		member(78) 30719
		member(79) 29951
		member(80) 29695
		member(81) 29183
		member(82) 30207
		member(83) 29439
		member(84) 29439
		member(85) 28927
		member(86) 28671
		member(87) 29183
		member(88) 29183
		member(89) 28671
		member(90) 27903
		member(91) 28927
		member(92) 27903
		member(93) 28415
		member(94) 27135
		member(95) 28159
		member(96) 27391
		member(97) 27647
		member(98) 26367
		member(99) 27391
		member(100) 26623
		member(101) 27391
		member(102) 26111
		member(103) 27135
		member(104) 25855
		member(105) 27391
		member(106) 25599
		member(107) 26623
		member(108) 25343
		member(109) 27135
		member(110) 25343
		member(111) 25855
		member(112) 25087
		member(113) 25343
		member(114) 25087
		member(115) 22015
		member(116) 22015
		member(117) 23039
		member(118) 23807
		member(119) 20223
		member(120) 21247
		member(121) 13311
		member(122) 22783
		member(123) 20223
		member(124) 20735
		member(125) 11007
		member(126) 15103
		member(127) 20223
		member(128) 17151
		member(129) 0
		member(130) 5631
		member(131) 7935
UpdateClipScaleData Instance142
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance146
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 32767
		member(1) 32767
		member(2) 32767
		member(3) 32767
		member(4) 0
		member(5) 0
		member(6) 0
		member(7) 0
		member(8) 21503
		member(9) 21759
		member(10) 23039
		member(11) 20223
		member(12) 22271
		member(13) 25343
		member(14) 24063
		member(15) 20223
		member(16) 25343
		member(17) 25599
		member(18) 25087
		member(19) 25343
		member(20) 25599
		member(21) 27135
		member(22) 25343
		member(23) 26111
		member(24) 26111
		member(25) 27391
		member(26) 26111
		member(27) 26623
		member(28) 27135
		member(29) 27647
		member(30) 26367
		member(31) 27391
		member(32) 27647
		member(33) 27647
		member(34) 26879
		member(35) 27391
		member(36) 28159
		member(37) 28671
		member(38) 27391
		member(39) 28671
		member(40) 29183
		member(41) 28927
		member(42) 28159
		member(43) 29183
		member(44) 29439
		member(45) 29183
		member(46) 28671
		member(47) 29439
		member(48) 30207
		member(49) 29439
		member(50) 30463
		member(51) 29439
		member(52) 30719
		member(53) 29695
		member(54) 30719
		member(55) 29951
		member(56) 31231
		member(57) 29951
		member(58) 30975
		member(59) 30463
		member(60) 31231
		member(61) 29951
		member(62) 30975
		member(63) 30463
		member(64) 31231
		member(65) 29951
		member(66) 30975
		member(67) 30463
		member(68) 31231
		member(69) 29951
		member(70) 30975
		member(71) 30463
		member(72) 30719
		member(73) 29951
		member(74) 30975
		member(75) 30463
		member(76) 30719
		member(77) 29695
		member(78) 30719
		member(79) 29951
		member(80) 29695
		member(81) 29183
		member(82) 30207
		member(83) 29439
		member(84) 29439
		member(85) 28927
		member(86) 28671
		member(87) 29183
		member(88) 29183
		member(89) 28671
		member(90) 27903
		member(91) 28927
		member(92) 27903
		member(93) 28415
		member(94) 27135
		member(95) 28159
		member(96) 27391
		member(97) 27647
		member(98) 26367
		member(99) 27391
		member(100) 26623
		member(101) 27391
		member(102) 26111
		member(103) 27135
		member(104) 25855
		member(105) 27391
		member(106) 25599
		member(107) 26623
		member(108) 25343
		member(109) 27135
		member(110) 25343
		member(111) 25855
		member(112) 25087
		member(113) 25343
		member(114) 25087
		member(115) 22015
		member(116) 22015
		member(117) 23039
		member(118) 23807
		member(119) 20223
		member(120) 21247
		member(121) 13311
		member(122) 22783
		member(123) 20223
		member(124) 20735
		member(125) 11007
		member(126) 15103
		member(127) 20223
		member(128) 17151
		member(129) 0
		member(130) 5631
		member(131) 7935
UpdateClipScaleData Instance143
	$::ProcessorData
		$::DataContainer
		Pre *nullGuid*
		NextProcessor Instance144
		EvaluatorInput EfNormTime
	Lookup::array
		member(0) 32767
		member(1) 32767
		member(2) 32767
		member(3) 32767
		member(4) 0
		member(5) 0
		member(6) 0
		member(7) 0
		member(8) 21503
		member(9) 21759
		member(10) 23039
		member(11) 20223
		member(12) 22271
		member(13) 25343
		member(14) 24063
		member(15) 20223
		member(16) 25343
		member(17) 25599
		member(18) 25087
		member(19) 25343
		member(20) 25599
		member(21) 27135
		member(22) 25343
		member(23) 26111
		member(24) 26111
		member(25) 27391
		member(26) 26111
		member(27) 26623
		member(28) 27135
		member(29) 27647
		member(30) 26367
		member(31) 27391
		member(32) 27647
		member(33) 27647
		member(34) 26879
		member(35) 27391
		member(36) 28159
		member(37) 28671
		member(38) 27391
		member(39) 28671
		member(40) 29183
		member(41) 28927
		member(42) 28159
		member(43) 29183
		member(44) 29439
		member(45) 29183
		member(46) 28671
		member(47) 29439
		member(48) 30207
		member(49) 29439
		member(50) 30463
		member(51) 29439
		member(52) 30719
		member(53) 29695
		member(54) 30719
		member(55) 29951
		member(56) 31231
